class,TP,FP,FN,precision,recall,support_gt,predictions
D00,388,77524,313,0.004980,0.553495,701,77912
D10,114,21756,154,0.005213,0.425373,268,21870
D20,121,32423,91,0.003718,0.570755,212,32544
D40,26,9329,119,0.002779,0.179310,145,9355
