heldout_domain,status,model,epochs,imgsz,batch,workers,device,train_images,val_images,final_epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision_B,recall_B,mAP50_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv,subset_yaml
China_Drone,ran,yolov8n.pt,4,320,8,0,cpu,960,80,4,2.48061,2.96287,1.80664,0.09132,0.08842,0.06988,0.02368,2.55688,3.1894,2.18939,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_China_Drone_pretrained_4epoch_r08b\results.csv,data_processed\yolo_g3_frozen_subset_lodo\heldout_China_Drone\dataset.yaml
China_MotorBike,ran,yolov8n.pt,4,320,8,0,cpu,960,80,4,2.54987,3.03985,1.82091,0.37095,0.12291,0.06573,0.01919,2.68824,3.27737,2.39245,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_China_MotorBike_pretrained_4epoch_r08b\results.csv,data_processed\yolo_g3_frozen_subset_lodo\heldout_China_MotorBike\dataset.yaml
Czech_Republic,ran,yolov8n.pt,4,320,8,0,cpu,960,80,4,2.36263,2.91519,1.77946,0.38321,0.10712,0.05425,0.02169,2.68224,3.36821,1.91494,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_Czech_Republic_pretrained_4epoch_r08b\results.csv,data_processed\yolo_g3_frozen_subset_lodo\heldout_Czech_Republic\dataset.yaml
India,ran,yolov8n.pt,4,320,8,0,cpu,960,80,4,2.44003,2.86218,1.83,0.10847,0.07158,0.06006,0.01875,2.78274,3.62468,2.07477,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_India_pretrained_4epoch_r08b\results.csv,data_processed\yolo_g3_frozen_subset_lodo\heldout_India\dataset.yaml
Japan,ran,yolov8n.pt,4,320,8,0,cpu,960,80,4,2.47134,2.90952,1.80286,0.087,0.15015,0.07969,0.02688,2.36732,3.27914,1.84427,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_Japan_pretrained_4epoch_r08b\results.csv,data_processed\yolo_g3_frozen_subset_lodo\heldout_Japan\dataset.yaml
Norway,ran,yolov8n.pt,4,320,8,0,cpu,960,80,4,2.33206,2.86477,1.82005,0.03581,0.02312,0.01201,0.00417,3.12017,3.67628,2.02816,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_Norway_pretrained_4epoch_r08b\results.csv,data_processed\yolo_g3_frozen_subset_lodo\heldout_Norway\dataset.yaml
United_States,ran,yolov8n.pt,4,320,8,0,cpu,960,80,4,2.42403,2.95368,1.8005,0.12909,0.1016,0.06796,0.02988,2.52087,3.06886,1.96705,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_United_States_pretrained_4epoch_r08b\results.csv,data_processed\yolo_g3_frozen_subset_lodo\heldout_United_States\dataset.yaml
