threshold,total_images,gt_positive_images,pred_positive_images_full,selected_images,accepted_predictions,image_review_coverage,selected_image_tp_rate,selected_image_fp_flag_rate,gt_image_recall_proxy,gt_image_miss_proxy
0.000,560,560,560,560,151913,1.000000,0.855357,1.000000,0.855357,0.144643
0.050,560,560,560,478,2766,0.853571,0.562762,0.974895,0.480357,0.519643
0.100,560,560,560,349,1080,0.623214,0.521490,0.922636,0.325000,0.675000
0.200,560,560,560,195,400,0.348214,0.569231,0.758974,0.198214,0.801786
0.500,560,560,560,34,60,0.060714,0.676471,0.676471,0.041071,0.958929
