threshold,total_images,gt_positive_images,pred_positive_images_full,selected_images,accepted_predictions,image_review_coverage,selected_image_tp_rate,selected_image_fp_flag_rate,gt_image_recall_proxy,gt_image_miss_proxy
0.000,560,560,560,560,141681,1.000000,0.760714,1.000000,0.760714,0.239286
0.050,560,560,560,457,2956,0.816071,0.365427,0.969365,0.298214,0.701786
0.100,560,560,560,315,1344,0.562500,0.314286,0.939683,0.176786,0.823214
0.200,560,560,560,172,602,0.307143,0.279070,0.877907,0.085714,0.914286
0.500,560,560,560,82,254,0.146429,0.109756,0.963415,0.016071,0.983929
