group,n_predictions,tp,fp,precision,ece,max_bin_gap,high_conf_threshold,high_conf_predictions,high_conf_precision,high_conf_mean_confidence,high_conf_abs_gap
all,151913,822,151091,0.005411,0.001864,0.842202,0.100000,1080,0.195370,0.214536,0.019165
China_Drone,20429,119,20310,0.005825,0.002824,0.851461,0.100000,204,0.250000,0.219186,0.030814
China_MotorBike,22312,150,22162,0.006723,0.003226,0.840658,0.100000,318,0.176101,0.264042,0.087942
Czech_Republic,20738,97,20641,0.004677,0.001691,0.942411,0.100000,127,0.141732,0.198794,0.057061
India,22900,112,22788,0.004891,0.001706,0.575320,0.100000,96,0.156250,0.184853,0.028603
Japan,20963,111,20852,0.005295,0.001476,0.421102,0.100000,75,0.266667,0.175177,0.091490
Norway,20938,90,20848,0.004298,0.001800,0.561128,0.100000,83,0.144578,0.180409,0.035831
United_States,23633,143,23490,0.006051,0.002206,0.603299,0.100000,177,0.220339,0.180306,0.040033
