model_label,setting,train_images,val_images,epoch_count,mAP50_norm,precision_norm,recall_norm,mAP50_95_norm,elapsed_sec
Faster R-CNN MobileNetV3-320-FPN,ordinary,4480,560,8,0.1982869151979684,0.0859030837004405,0.3919597989949748,,1273.4835677146912
Faster R-CNN MobileNetV3-320-FPN,heldout_China_Drone,3840,80,8,0.1397417988628149,0.1331658291457286,0.4076923076923077,,1141.0023012161255
Faster R-CNN MobileNetV3-320-FPN,heldout_China_MotorBike,3840,80,8,0.2099249884486198,0.151618398637138,0.413953488372093,,1127.2012667655945
Faster R-CNN MobileNetV3-320-FPN,heldout_Czech_Republic,3840,80,8,0.0352468360215425,0.0655172413793103,0.1496062992125984,,1118.7096593379974
Faster R-CNN MobileNetV3-320-FPN,heldout_India,3840,80,8,0.0455813935647408,0.0865800865800865,0.1081081081081081,,1137.467847108841
Faster R-CNN MobileNetV3-320-FPN,heldout_Japan,3840,80,8,0.0922138437163084,0.0745033112582781,0.286624203821656,,1141.3561170101166
Faster R-CNN MobileNetV3-320-FPN,heldout_Norway,3840,80,8,0.0500725470483303,0.0601769911504424,0.1046153846153846,,734.8679885864258
Faster R-CNN MobileNetV3-320-FPN,heldout_United_States,3840,80,8,0.0306253067683428,0.0790441176470588,0.2299465240641711,,1072.798837184906
RetinaNet ResNet50-FPN,ordinary,4480,560,4,0.1659921631217003,0.009402460456942,0.6913137114142139,,945.1898834705352
RetinaNet ResNet50-FPN,heldout_China_Drone,3840,80,4,0.1901884339749813,0.0088193230573653,0.8538461538461538,,815.2518124580383
RetinaNet ResNet50-FPN,heldout_China_MotorBike,3840,80,4,0.2162195432174485,0.0134496250407564,0.7674418604651163,,807.7514183521271
RetinaNet ResNet50-FPN,heldout_Czech_Republic,3840,80,4,0.1003424304071813,0.0088271103896103,0.6850393700787402,,800.3426196575165
RetinaNet ResNet50-FPN,heldout_India,3840,80,4,0.0725266585747401,0.0080673143650242,0.5027027027027027,,797.534455537796
RetinaNet ResNet50-FPN,heldout_Japan,3840,80,4,0.1590376193635165,0.0096744186046511,0.6624203821656051,,805.1530361175537
RetinaNet ResNet50-FPN,heldout_Norway,3840,80,4,0.0531428661197423,0.0115183246073298,0.3723076923076923,,635.8017024993896
RetinaNet ResNet50-FPN,heldout_United_States,3840,80,4,0.1396536882093642,0.0091233890519331,0.7647058823529411,,807.7992353439331
RT-DETR-L,ordinary,4480,560,8,0.34893,0.44912,0.38696,0.15618,3972.689678192138
RT-DETR-L,heldout_China_Drone,3840,80,8,0.44745,0.51005,0.44086,0.24856,3412.675164937973
RT-DETR-L,heldout_China_MotorBike,3840,80,8,0.39978,0.53566,0.40103,0.18246,3321.7102711200714
RT-DETR-L,heldout_Czech_Republic,3840,80,8,0.21109,0.28107,0.37127,0.07502,3323.8414969444275
RT-DETR-L,heldout_India,3840,80,8,0.06683,0.32993,0.11987,0.0206,3245.7484142780304
RT-DETR-L,heldout_Japan,3840,80,8,0.28283,0.35443,0.32044,0.13161,3164.64275932312
RT-DETR-L,heldout_Norway,3840,80,8,0.15057,0.18667,0.23819,0.06484,3063.6575083732605
RT-DETR-L,heldout_United_States,3840,80,8,0.28608,0.26512,0.31226,0.13845,3180.625077009201
