model_name,suite_prefix,setting,dataset_root,train_images,val_images,epochs,batch_size,lr,pretrained_coco,score_threshold,train_loss,elapsed_sec,mAP50,precision,recall,tp,fp,gt,AP50_D00,AP50_D10,AP50_D20,AP50_D40
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,ordinary,data_processed\g4\r14lc640_yolov8s_seed20260512_ordinary,4480,560,4,1,0.001,True,0.05,0.9506228660832026,945.1898834705353,0.1659921631217003,0.009402460456942003,0.6913137114142139,963,101457,1393,0.2423461526632309,0.17682768404483795,0.23524262011051178,0.00955219566822052
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_China_Drone,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_China_Drone,3840,80,4,1,0.001,True,0.05,1.008161719252045,815.2518124580383,0.1901884339749813,0.008819323057365326,0.8538461538461538,111,12475,130,0.17890672385692596,0.2934620678424835,0.08838494122028351,0.20000000298023224
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_China_MotorBike,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_China_MotorBike,3840,80,4,1,0.001,True,0.05,0.9753055251746748,807.7514183521271,0.21621954321744852,0.01344962504075644,0.7674418604651163,165,12103,215,0.274258553981781,0.24231041967868805,0.3466363847255707,0.0016728144837543368
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_Czech_Republic,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Czech_Republic,3840,80,4,1,0.001,True,0.05,0.9662665392116954,800.3426196575165,0.10034243040718138,0.00882711038961039,0.6850393700787402,87,9769,127,0.2820204794406891,0.028566135093569756,0.0846828892827034,0.006100217811763287
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_India,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_India,3840,80,4,1,0.001,True,0.05,0.9602021151105873,797.534455537796,0.0725266585747401,0.00806731436502429,0.5027027027027027,93,11435,185,0.06672757863998413,nan,0.10742492973804474,0.043427467346191406
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_Japan,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Japan,3840,80,4,1,0.001,True,0.05,0.9686027481919155,805.1530361175537,0.15903761936351657,0.009674418604651163,0.6624203821656051,104,10646,157,0.17286472022533417,0.07684100419282913,0.376773864030838,0.009670889005064964
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_Norway,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Norway,3840,80,4,1,0.001,True,0.05,0.9179377466246176,635.8017024993896,0.053142866119742393,0.011518324607329843,0.3723076923076923,121,10384,325,0.09505172073841095,0.041558705270290375,0.07596103847026825,0.0
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_United_States,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_United_States,3840,80,4,1,0.001,True,0.05,1.0010510929704954,807.7992353439331,0.1396536882093642,0.009123389051933137,0.7647058823529411,143,15531,187,0.2055044025182724,0.23232817649841309,0.11993327736854553,0.0008488964522257447
