model_name,suite_prefix,setting,dataset_root,train_images,val_images,epochs,batch_size,lr,pretrained_coco,score_threshold,train_loss,elapsed_sec,mAP50,precision,recall,tp,fp,gt,AP50_D00,AP50_D10,AP50_D20,AP50_D40
fasterrcnn_mobilenet320,r14lc640_yolov8s_seed20260512,ordinary,data_processed\g4\r14lc640_yolov8s_seed20260512_ordinary,4480,560,8,2,0.0025,True,0.05,0.3965128994663246,1273.4835677146912,0.1982869151979684,0.0859030837004405,0.3919597989949748,546,5810,1393,0.1881097257137298,0.1865887343883514,0.3700835108757019,0.0483656898140907
fasterrcnn_mobilenet320,r14lc640_yolov8s_seed20260512,heldout_China_Drone,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_China_Drone,3840,80,8,2,0.0025,True,0.05,0.3765097276967329,1141.0023012161255,0.1397417988628149,0.1331658291457286,0.4076923076923077,53,345,130,0.193204864859581,0.3083460628986358,0.0574162676930427,0.0
fasterrcnn_mobilenet320,r14lc640_yolov8s_seed20260512,heldout_China_MotorBike,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_China_MotorBike,3840,80,8,2,0.0025,True,0.05,0.3728220377621862,1127.2012667655945,0.2099249884486198,0.151618398637138,0.413953488372093,89,498,215,0.2335563004016876,0.2198425531387329,0.1344492435455322,0.2518518567085266
fasterrcnn_mobilenet320,r14lc640_yolov8s_seed20260512,heldout_Czech_Republic,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Czech_Republic,3840,80,8,2,0.0025,True,0.05,0.3964419120379413,1118.7096593379974,0.0352468360215425,0.0655172413793103,0.1496062992125984,19,271,127,0.1089273542165756,0.0,0.0320599898695945,0.0
fasterrcnn_mobilenet320,r14lc640_yolov8s_seed20260512,heldout_India,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_India,3840,80,8,2,0.0025,True,0.05,0.3893239619870049,1137.467847108841,0.0455813935647408,0.0865800865800865,0.1081081081081081,20,211,185,0.0922129899263382,,0.02884491533041,0.0156862754374742
fasterrcnn_mobilenet320,r14lc640_yolov8s_seed20260512,heldout_Japan,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Japan,3840,80,8,2,0.0025,True,0.05,0.398401229060255,1141.3561170101166,0.0922138437163084,0.0745033112582781,0.286624203821656,45,559,157,0.0575878843665123,0.0607959553599357,0.2396019697189331,0.0108695654198527
fasterrcnn_mobilenet320,r14lc640_yolov8s_seed20260512,heldout_Norway,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Norway,3840,80,8,2,0.0025,True,0.05,0.4275898384318377,734.8679885864258,0.0500725470483303,0.0601769911504424,0.1046153846153846,34,531,325,0.0431575551629066,0.0710936710238456,0.0860389620065689,0.0
fasterrcnn_mobilenet320,r14lc640_yolov8s_seed20260512,heldout_United_States,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_United_States,3840,80,8,2,0.0025,True,0.05,0.4017956322330671,1072.798837184906,0.0306253067683428,0.0790441176470588,0.2299465240641711,43,501,187,0.0957772210240364,0.0202926974743604,0.0064313085749745,0.0
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,ordinary,data_processed\g4\r14lc640_yolov8s_seed20260512_ordinary,4480,560,4,1,0.001,True,0.05,0.9506228660832026,945.1898834705352,0.1659921631217003,0.009402460456942,0.6913137114142139,963,101457,1393,0.2423461526632309,0.1768276840448379,0.2352426201105117,0.0095521956682205
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_China_Drone,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_China_Drone,3840,80,4,1,0.001,True,0.05,1.008161719252045,815.2518124580383,0.1901884339749813,0.0088193230573653,0.8538461538461538,111,12475,130,0.1789067238569259,0.2934620678424835,0.0883849412202835,0.2000000029802322
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_China_MotorBike,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_China_MotorBike,3840,80,4,1,0.001,True,0.05,0.9753055251746748,807.7514183521271,0.2162195432174485,0.0134496250407564,0.7674418604651163,165,12103,215,0.274258553981781,0.242310419678688,0.3466363847255707,0.0016728144837543
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_Czech_Republic,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Czech_Republic,3840,80,4,1,0.001,True,0.05,0.9662665392116954,800.3426196575165,0.1003424304071813,0.0088271103896103,0.6850393700787402,87,9769,127,0.2820204794406891,0.0285661350935697,0.0846828892827034,0.0061002178117632
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_India,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_India,3840,80,4,1,0.001,True,0.05,0.9602021151105872,797.534455537796,0.0725266585747401,0.0080673143650242,0.5027027027027027,93,11435,185,0.0667275786399841,,0.1074249297380447,0.0434274673461914
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_Japan,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Japan,3840,80,4,1,0.001,True,0.05,0.9686027481919156,805.1530361175537,0.1590376193635165,0.0096744186046511,0.6624203821656051,104,10646,157,0.1728647202253341,0.0768410041928291,0.376773864030838,0.0096708890050649
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_Norway,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_Norway,3840,80,4,1,0.001,True,0.05,0.9179377466246176,635.8017024993896,0.0531428661197423,0.0115183246073298,0.3723076923076923,121,10384,325,0.0950517207384109,0.0415587052702903,0.0759610384702682,0.0
retinanet_resnet50_fpn,r14lc640_yolov8s_seed20260512,heldout_United_States,data_processed\g4\r14lc640_yolov8s_seed20260512_lodo\heldout_United_States,3840,80,4,1,0.001,True,0.05,1.0010510929704954,807.7992353439331,0.1396536882093642,0.0091233890519331,0.7647058823529411,143,15531,187,0.2055044025182724,0.232328176498413,0.1199332773685455,0.0008488964522257
