domain,images,primary_boxes,additional_label_boxes,boxes_per_image,dominant_primary_label,dominant_primary_share,d40_share_primary,mAP50_640_mean,gain_80_to_640,rank_at_640,precision,recall,support_gt,predictions,mAP50_640_mz,recall_mz
Norway,10201,11229,0,1.1007744338790315,D00,0.7632024222994034,0.04105441268144982,0.0867266666666666,0.0407199999999999,1,0.003786,0.178462,325,15318,-1.820268551136363,-4.714044181472938
India,9665,6831,1372,0.7067770305225038,D40,0.46654955350607524,0.46654955350607524,0.09106,0.0495633333333333,2,0.003648,0.394595,185,20013,-1.7704475284090897,-2.2424975162755985
Czech_Republic,3538,1745,0,0.4932165065008479,D00,0.566189111747851,0.11289398280802292,0.21322,0.1085599999999999,3,0.003111,0.535433,127,21858,-0.3659545738636361,-0.6319721026040944
China_MotorBike,2477,4650,277,1.8772708922083166,D00,0.5759139784946237,0.05053763440860215,0.24505,0.17364,4,0.006313,0.590698,215,20118,0.0,0.0
Japan,13133,16470,8284,1.2540927434706464,D20,0.376381299332119,0.13618700667880995,0.2610333333333333,0.1572199999999999,5,0.0052,0.649682,157,19616,0.18376292613636308,0.6745
China_Drone,2401,3068,772,1.2778009162848813,D00,0.46479791395045633,0.02803129074315515,0.3037166666666667,0.13064,6,0.004691,0.769231,130,21318,0.6745,2.0415792163976665
United_States,6005,11014,0,1.8341382181515404,D00,0.6128563646268386,0.012257127292536772,0.36221,0.1810866666666666,7,0.005162,0.647059,187,23440,1.347007159090908,0.6445051963244278
