train_per_domain,seed,prefix,source,setting,heldout_domain,n_runs,precision_B,recall_B,mAP50_B,mAP50_95_B
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,ordinary,mixed,1,0.20631,0.20827,0.12711,0.04339
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,LODO mean,all_domains,7,0.1770171428571428,0.1609114285714285,0.1276857142857143,0.0554542857142857
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,ordinary,mixed,1,0.22714,0.21155,0.13038,0.04915
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,LODO mean,all_domains,7,0.2238471428571428,0.1374528571428571,0.0802042857142857,0.0281057142857142
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,ordinary,mixed,1,0.22256,0.21862,0.13598,0.048
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,LODO mean,all_domains,7,0.1946871428571428,0.1702171428571428,0.1013614285714285,0.0357071428571428
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,ordinary,mixed,1,0.33343,0.26034,0.18135,0.06958
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,LODO mean,all_domains,7,0.31137,0.2186542857142857,0.1453628571428571,0.06246
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,ordinary,mixed,1,0.28098,0.25675,0.18136,0.06989
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,LODO mean,all_domains,7,0.2693685714285714,0.1851857142857143,0.1146414285714285,0.04363
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,ordinary,mixed,1,0.26344,0.28786,0.19637,0.07467
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,LODO mean,all_domains,7,0.1950714285714285,0.1701714285714285,0.1281471428571428,0.0478342857142857
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,ordinary,mixed,1,0.34161,0.30695,0.24803,0.10295
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,LODO mean,all_domains,7,0.3210514285714286,0.2143828571428571,0.1897242857142857,0.0856057142857142
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,ordinary,mixed,1,0.43134,0.31105,0.30457,0.12563
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,LODO mean,all_domains,7,0.2561928571428571,0.2151942857142857,0.1673857142857142,0.06675
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,ordinary,mixed,1,0.35836,0.31979,0.28031,0.11288
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,LODO mean,all_domains,7,0.2358871428571429,0.2127342857142857,0.1715971428571428,0.0672914285714285
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,ordinary,mixed,1,0.42646,0.36994,0.32379,0.13518
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,LODO mean,all_domains,7,0.4072857142857143,0.2354699999999999,0.2228371428571428,0.1032585714285714
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,ordinary,mixed,1,0.43385,0.35349,0.3419,0.14947
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,LODO mean,all_domains,7,0.4190628571428571,0.2562228571428571,0.22273,0.0909214285714285
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,ordinary,mixed,1,0.40892,0.38712,0.33195,0.14046
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,LODO mean,all_domains,7,0.3431757142857142,0.2577085714285714,0.2242971428571429,0.0937514285714285
