setting,n_predictions,full_precision,ece,max_bin_gap,high_conf_predictions,high_conf_precision,high_conf_mean_confidence,high_conf_abs_gap
ordinary,151913,0.005411,0.001864,0.842202,1080,0.19537,0.214536,0.019165
pooled_LODO,141681,0.004581,0.003589,0.96217,1344,0.077381,0.30349,0.226109
