heldout_domain,TP,FP,FN,precision,recall,support_gt,predictions
China_Drone,100,21218,30,0.004691,0.769231,130,21318
China_MotorBike,127,19991,88,0.006313,0.590698,215,20118
Czech_Republic,68,21790,59,0.003111,0.535433,127,21858
India,73,19940,112,0.003648,0.394595,185,20013
Japan,102,19514,55,0.0052,0.649682,157,19616
Norway,58,15260,267,0.003786,0.178462,325,15318
United_States,121,23319,66,0.005162,0.647059,187,23440
