descriptor,n_domains,pearson_r,pearson_p,spearman_rho,spearman_p
Boxes/image,7,0.6124370673639361,0.1437565995125211,0.642857142857143,0.11939237342741109
Mean image area,7,-0.5969760760775155,0.15701680838408827,-0.504524979109513,0.2482031142645113
D40 share,7,-0.5918330042547083,0.16155735196185758,-0.5357142857142858,0.21521745567801298
Mean contrast,7,-0.48895168794253047,0.26548643165130636,-0.4642857142857144,0.29393410760025196
Mean brightness,7,0.37756868892652945,0.4037136696776128,0.4642857142857144,0.29393410760025196
Dominant-class share,7,-0.2874712460333051,0.5318863477459241,-0.28571428571428575,0.5345092286010406
Additional-label share,7,0.09834023378888287,0.8338585200172801,0.2594372608313854,0.5742370658329916
