model,epochs,ordinary_mAP50,mean_LODO_mAP50,ordinary_minus_LODO,n_LODO,weakest_LODO_domain,weakest_LODO_mAP50,ordinary_precision,ordinary_recall
YOLOv8s 640 budget,8,0.3325,0.2233,0.1093,7,Norway,0.0867,,
Faster R-CNN MobileNetV3-320-FPN,8,0.1982869151979684,0.08620095920438564,0.11208595599358276,7,United_States,0.0306253067683428,0.0859030837004405,0.3919597989949748
RetinaNet ResNet50-FPN,4,0.1659921631217003,0.13301589140956774,0.03297627171213255,7,Norway,0.0531428661197423,0.009402460456942,0.6913137114142139
RT-DETR-L,8,0.34893,0.2635185714285715,0.08541142857142853,7,India,0.06683,0.44912,0.38696
