train_per_domain,n_paired_seeds,ordinary_mean_mAP50,ordinary_ci95_low,ordinary_ci95_high,lodo_mean_mAP50,lodo_ci95_low,lodo_ci95_high,ordinary_minus_lodo_gap_mean,ci95_low,ci95_high,gap_min_seed,gap_max_seed,loo_mean_low,loo_mean_high
80,3,0.13115666666666667,0.12001353445702315,0.1422997988763102,0.10308380952380951,0.04399231553057507,0.16217530351704396,0.028072857142857163,-0.03651766877306366,0.09266338305877798,-0.0005757142857142905,0.050175714285714296,0.017021428571428597,0.04239714285714289
160,3,0.18636,0.16482521950564227,0.20789478049435772,0.12938380952380946,0.09113304512410805,0.16763457392351086,0.056976190476190534,0.01178325895254246,0.1021691219998386,0.03598714285714291,0.0682228571428572,0.0513528571428572,0.06747071428571434
320,3,0.2776366666666667,0.20717498902587805,0.34809834430745534,0.17623571428571425,0.1467497005255337,0.20572172804589478,0.10140095238095244,0.0021735579338141714,0.20062834682809072,0.058305714285714294,0.13718428571428581,0.08350928571428574,0.1229485714285715
640,3,0.3325466666666667,0.3100162040846525,0.3550771292486809,0.22328809523809523,0.22111322916573584,0.22546296131045462,0.10925857142857144,0.08636945475956667,0.1321476880975762,0.10095285714285723,0.11916999999999997,0.10430285714285718,0.11341142857142855
