setting,full_coverage_precision,peak_precision,peak_threshold,coverage_at_peak_precision,accepted_at_peak_precision,gt_recall_at_peak_precision
ordinary,0.005411,0.383333,0.5,0.000395,60,0.016358
pooled_LODO,0.004581,0.081395,0.2,0.004249,602,0.036953
