threshold,accepted_predictions,referred_or_rejected_predictions,prediction_coverage,tp,fp,precision,residual_error_rate,gt_recall_after_acceptance
0.0,151913,0,1.0,822,151091,0.005411,0.994589,0.584637
0.001,151913,0,1.0,822,151091,0.005411,0.994589,0.584637
0.005,41407,110506,0.27257,742,40665,0.01792,0.98208,0.527738
0.01,19215,132698,0.126487,646,18569,0.03362,0.96638,0.459459
0.025,6585,145328,0.043347,483,6102,0.073349,0.926651,0.343528
0.05,2766,149147,0.018208,352,2414,0.12726,0.87274,0.250356
0.1,1080,150833,0.007109,211,869,0.19537,0.80463,0.150071
0.2,400,151513,0.002633,123,277,0.3075,0.6925,0.087482
0.3,201,151712,0.001323,65,136,0.323383,0.676617,0.04623
0.5,60,151853,0.000395,23,37,0.383333,0.616667,0.016358
