heldout_domain,mAP50_80_mean,mAP50_640_mean,mAP50_640_ci95_low,mAP50_640_ci95_high,gain_80_to_640,rank_at_640
Norway,0.04600666666666667,0.08672666666666666,-0.0011171648504781917,0.1745704981838115,0.04071999999999999,1
India,0.04149666666666666,0.09106000000000002,0.043863364291273695,0.13825663570872634,0.049563333333333355,2
Czech_Republic,0.10466000000000002,0.21322,0.15446088478786618,0.2719791152121338,0.10855999999999998,3
China_MotorBike,0.07140999999999999,0.24505,0.15297531926485636,0.3371246807351436,0.17364000000000002,4
Japan,0.10381333333333333,0.2610333333333333,0.2051931978068812,0.31687346885978535,0.15721999999999997,5
China_Drone,0.17307666666666666,0.3037166666666667,-0.021670105755379365,0.6291034390887127,0.13064000000000003,6
United_States,0.18112333333333333,0.36221,0.19547559279711,0.5289444072028899,0.18108666666666665,7
