train_per_domain,min_domain_mAP50,max_domain_mAP50,domain_spread_mAP50,weakest_domain,strongest_domain
80,0.04149666666666666,0.18112333333333333,0.13962666666666668,India,United_States
160,0.051103333333333334,0.20266666666666666,0.15156333333333333,Norway,United_States
320,0.06261333333333334,0.31115333333333334,0.24853999999999998,India,United_States
640,0.08672666666666666,0.36221,0.2754833333333333,Norway,United_States
