model_label,setting,metric,n,mean,std,se,ci95_low,ci95_high,median,min,max,scope,heldout_domain
YOLOv8n 320px 4ep,,mAP50_95_B,5,0.025226,0.0033968926977459,0.0015191365968865,0.0210082006314475,0.0294437993685524,0.02404,0.02151,0.03042,lodo_domain,China_Drone
YOLOv8n 320px 4ep,,precision_B,5,0.296108,0.162714793642127,0.0727682679057293,0.094070898759416,0.4981451012405838,0.36586,0.09872,0.48846,lodo_domain,China_MotorBike
YOLOv8n 320px 4ep,,recall_B,5,0.103562,0.0311671200145281,0.0139383598030758,0.0648629091502644,0.1422610908497355,0.1099,0.06779,0.14132,lodo_domain,China_MotorBike
YOLOv8n 320px 4ep,,mAP50_B,5,0.0651799999999999,0.0105292853508678,0.0047088395598066,0.0521061654530131,0.0782538345469868,0.06573,0.0496,0.0792,lodo_domain,China_MotorBike
YOLOv8n 320px 4ep,,mAP50_95_B,5,0.0174979999999999,0.0032857982287413,0.0014694536399628,0.0134181426340101,0.0215778573659898,0.01747,0.01314,0.02182,lodo_domain,China_MotorBike
YOLOv8n 320px 4ep,,precision_B,5,0.213986,0.1039445757603541,0.0464854274585057,0.0849217624698046,0.3430502375301955,0.16663,0.12365,0.38321,lodo_domain,Czech_Republic
YOLOv8n 320px 4ep,,recall_B,5,0.102788,0.0102436404661624,0.0045810952838813,0.0900688404226229,0.1155071595773771,0.10672,0.08534,0.11179,lodo_domain,Czech_Republic
YOLOv8n 320px 4ep,,mAP50_B,5,0.077084,0.013945010935815,0.006236398479892,0.0597689819664407,0.0943990180335592,0.07844,0.05425,0.0889,lodo_domain,Czech_Republic
YOLOv8n 320px 4ep,,mAP50_95_B,5,0.024936,0.0034736191501084,0.0015534497095174,0.0206229321578392,0.0292490678421607,0.02677,0.02076,0.02854,lodo_domain,Czech_Republic
YOLOv8n 320px 4ep,,precision_B,5,0.337854,0.1375500931660898,0.0615142717261612,0.1670630013660926,0.5086449986339073,0.39136,0.10847,0.45381,lodo_domain,India
YOLOv8n 320px 4ep,,recall_B,5,0.074122,0.0176558324640895,0.0078959283178103,0.0521993884710226,0.0960446115289773,0.07158,0.05744,0.09984,lodo_domain,India
YOLOv8n 320px 4ep,,mAP50_B,5,0.047364,0.0130565167636701,0.0058390518065864,0.0311521931926068,0.0635758068073931,0.04236,0.03193,0.0619,lodo_domain,India
YOLOv8n 320px 4ep,,mAP50_95_B,5,0.0159439999999999,0.0052410619152992,0.0023438741433788,0.009436362107416,0.0224516378925839,0.01397,0.0114,0.02374,lodo_domain,India
YOLOv8n 320px 4ep,,precision_B,5,0.259154,0.1708037984940616,0.0763857808495796,0.0470730726534733,0.4712349273465266,0.3357,0.0717,0.45545,lodo_domain,Japan
YOLOv8n 320px 4ep,,recall_B,5,0.135102,0.0213866750571471,0.009564411848096,0.1085469355402579,0.161657064459742,0.14327,0.10769,0.1569,lodo_domain,Japan
YOLOv8n 320px 4ep,,mAP50_B,5,0.060764,0.01370572252747,0.0061293854504346,0.0437460977682701,0.0777819022317298,0.0554,0.0461,0.07969,lodo_domain,Japan
YOLOv8n 320px 4ep,,mAP50_95_B,5,0.021366,0.0040536255377131,0.0018128364515311,0.0163327591076222,0.0263992408923777,0.02069,0.01588,0.02688,lodo_domain,Japan
YOLOv8n 320px 4ep,,precision_B,5,0.032376,0.0161201032875102,0.0072091293510381,0.0123602481005723,0.0523917518994276,0.03581,0.00898,0.05071,lodo_domain,Norway
YOLOv8n 320px 4ep,,recall_B,5,0.013748,0.0066489337491059,0.0029734935681786,0.0054922583372931,0.0220037416627068,0.01478,0.005,0.02312,lodo_domain,Norway
YOLOv8n 320px 4ep,,mAP50_B,5,0.007324,0.004490226052216,0.0020080901374191,0.0017486479671666,0.0128993520328333,0.00863,0.001,0.01201,lodo_domain,Norway
YOLOv8n 320px 4ep,,mAP50_95_B,5,0.00239,0.0014953427700697,0.0006687376167077,0.00053328671743,0.0042467132825699,0.00297,0.00036,0.00417,lodo_domain,Norway
YOLOv8n 320px 4ep,,precision_B,5,0.149878,0.0335274345872152,0.0149939245696381,0.1082481915209231,0.1915078084790769,0.16495,0.1015,0.18102,lodo_domain,United_States
YOLOv8n 320px 4ep,,recall_B,5,0.147836,0.0389499304235578,0.0174189384291925,0.0994732736605266,0.1961987263394733,0.16361,0.1016,0.18993,lodo_domain,United_States
YOLOv8n 320px 4ep,,mAP50_B,5,0.097546,0.022348790347578,0.0099946828864151,0.0697963116220084,0.1252956883779915,0.10267,0.06796,0.11817,lodo_domain,United_States
YOLOv8n 320px 4ep,,mAP50_95_B,5,0.036556,0.0057301247804912,0.0025625897057469,0.0294411103548487,0.0436708896451512,0.03752,0.02988,0.04262,lodo_domain,United_States
YOLOv8s 640px 8ep,,precision_B,5,0.4586419999999999,0.3447959647675709,0.1541974431175821,0.0305212638221736,0.8867627361778262,0.45282,0.13476,0.98818,lodo_domain,China_Drone
YOLOv8s 640px 8ep,,recall_B,5,0.186642,0.0553505941250859,0.0247535382117385,0.1179151599956919,0.255368840004308,0.1844,0.10703,0.25,lodo_domain,China_Drone
YOLOv8s 640px 8ep,,mAP50_B,5,0.1634479999999999,0.0765983140806636,0.0342558074492486,0.0683386310829354,0.2585573689170645,0.14492,0.1064,0.29724,lodo_domain,China_Drone
YOLOv8s 640px 8ep,,mAP50_95_B,5,0.084678,0.0551216751378257,0.0246511625283677,0.0162354004606782,0.1531205995393217,0.07583,0.0414,0.17945,lodo_domain,China_Drone
YOLOv8s 640px 8ep,,precision_B,5,0.161742,0.0472710510778002,0.0211402567155652,0.1030472377194442,0.2204367622805558,0.16177,0.11521,0.23093,lodo_domain,China_MotorBike
YOLOv8s 640px 8ep,,recall_B,5,0.203458,0.0472025102086742,0.0211096043070447,0.1448483424490435,0.2620676575509565,0.20148,0.15841,0.26786,lodo_domain,China_MotorBike
YOLOv8s 640px 8ep,,mAP50_B,5,0.114818,0.0231961811512153,0.0103736475745033,0.0860161369687231,0.1436198630312768,0.11452,0.08544,0.14425,lodo_domain,China_MotorBike
YOLOv8s 640px 8ep,,mAP50_95_B,5,0.039524,0.0118121962394806,0.0052825747510092,0.024857221189719,0.0541907788102809,0.04091,0.02353,0.05441,lodo_domain,China_MotorBike
YOLOv8s 640px 8ep,,precision_B,5,0.2054079999999999,0.0516687078414004,0.0231069486085895,0.1412528256396244,0.2695631743603754,0.22071,0.13334,0.25262,lodo_domain,Czech_Republic
YOLOv8s 640px 8ep,,recall_B,5,0.175074,0.0707252078823385,0.0316292745095425,0.0872570556070231,0.2628909443929768,0.19501,0.06411,0.24048,lodo_domain,Czech_Republic
YOLOv8s 640px 8ep,,mAP50_B,5,0.127096,0.0283608723420137,0.0126833676915872,0.0918813258552686,0.1623106741447313,0.13954,0.09319,0.15345,lodo_domain,Czech_Republic
YOLOv8s 640px 8ep,,mAP50_95_B,5,0.043246,0.0075511078657373,0.0033769580986444,0.0338700612165607,0.0526219387834392,0.04476,0.03349,0.05031,lodo_domain,Czech_Republic
YOLOv8s 640px 8ep,,precision_B,5,0.2587899999999999,0.097260998349801,0.0434964407739299,0.1380245199196963,0.3795554800803036,0.24896,0.14412,0.39965,lodo_domain,India
YOLOv8s 640px 8ep,,recall_B,5,0.0787419999999999,0.0145430677644023,0.0065038576245179,0.0606843963335038,0.0967996036664961,0.08559,0.0557,0.09174,lodo_domain,India
YOLOv8s 640px 8ep,,mAP50_B,5,0.055808,0.0105588574192475,0.0047220645908331,0.0426974468803535,0.0689185531196464,0.05747,0.04108,0.06978,lodo_domain,India
YOLOv8s 640px 8ep,,mAP50_95_B,5,0.022658,0.0046432230185507,0.0020765124608342,0.0168926771422344,0.0284233228577655,0.02414,0.01488,0.02723,lodo_domain,India
YOLOv8s 640px 8ep,,precision_B,5,0.197676,0.0578559584658313,0.0258739712066006,0.1258383392914049,0.269513660708595,0.20901,0.12071,0.25598,lodo_domain,Japan
YOLOv8s 640px 8ep,,recall_B,5,0.232508,0.0339432610395642,0.0151798878124971,0.1903618747855406,0.2746541252144593,0.23473,0.19563,0.26932,lodo_domain,Japan
YOLOv8s 640px 8ep,,mAP50_B,5,0.14275,0.0191588882767241,0.0085681153120158,0.1189610981811834,0.1665389018188166,0.14461,0.11846,0.17006,lodo_domain,Japan
YOLOv8s 640px 8ep,,mAP50_95_B,5,0.05512,0.0061240836049159,0.0027387734480967,0.0475159458657859,0.062724054134214,0.05433,0.04695,0.06141,lodo_domain,Japan
YOLOv8s 640px 8ep,,precision_B,5,0.130914,0.0509735542217726,0.022796066458931,0.0676219728623374,0.1942060271376626,0.12043,0.07374,0.19101,lodo_domain,Norway
YOLOv8s 640px 8ep,,recall_B,5,0.071634,0.020111334615087,0.0089940622635158,0.0466624798526172,0.0966055201473828,0.07266,0.03956,0.09246,lodo_domain,Norway
YOLOv8s 640px 8ep,,mAP50_B,5,0.0445119999999999,0.0172362864329878,0.0077083016287636,0.023110323673431,0.0659136763265689,0.04534,0.02391,0.06256,lodo_domain,Norway
YOLOv8s 640px 8ep,,mAP50_95_B,5,0.016374,0.0066400549696519,0.0029695228572954,0.0081292827980891,0.0246187172019108,0.01775,0.00836,0.02354,lodo_domain,Norway
YOLOv8s 640px 8ep,,precision_B,5,0.227174,0.0402591384656949,0.0180044340649741,0.1771856771684462,0.2771623228315538,0.22625,0.18624,0.28463,lodo_domain,United_States
YOLOv8s 640px 8ep,,recall_B,5,0.324986,0.0538570490279591,0.0240856045388111,0.258113641172488,0.3918583588275119,0.29957,0.28396,0.41273,lodo_domain,United_States
YOLOv8s 640px 8ep,,mAP50_B,5,0.209784,0.0187177731047258,0.0083708426099168,0.1865428150093152,0.2330251849906848,0.21166,0.18831,0.22926,lodo_domain,United_States
YOLOv8s 640px 8ep,,mAP50_95_B,5,0.090352,0.0153784384772967,0.0068774467646067,0.0712571465941491,0.1094468534058508,0.08858,0.0673,0.10473,lodo_domain,United_States
