model_label,setting,metric,n,mean,std,se,ci95_low,ci95_high,median,min,max,scope,heldout_domain
YOLOv8n 320px 4ep,LODO mean,precision_B,5,0.2137985714285714,0.0493251214713482,0.0220588649216738,0.1525533438905708,0.2750437989665721,0.2276914285714285,0.1577,0.2797571428571428,seed_setting,
YOLOv8n 320px 4ep,LODO mean,recall_B,5,0.1006351428571428,0.0100461738883974,0.004492785545648,0.088161170420225,0.1131091152940606,0.0984814285714285,0.0880314285714285,0.1110314285714285,seed_setting,
YOLOv8n 320px 4ep,LODO mean,mAP50_B,5,0.0618917142857142,0.0053430783376672,0.0023894972744261,0.0552574062742504,0.0685260222971781,0.0626999999999999,0.0546628571428571,0.0677485714285714,seed_setting,
YOLOv8n 320px 4ep,LODO mean,mAP50_95_B,5,0.0205594285714285,0.0013307541976991,0.0005951313694796,0.018907078993687,0.0222117781491701,0.0202628571428571,0.0194,0.02279,seed_setting,
YOLOv8n 320px 4ep,ordinary,precision_B,5,0.214744,0.0511828401908295,0.0228896619896406,0.1511921100092302,0.2782958899907698,0.21653,0.16424,0.2842,seed_setting,
YOLOv8n 320px 4ep,ordinary,recall_B,5,0.163746,0.0225918952281564,0.0101034026941422,0.1356944570440066,0.1917975429559933,0.15943,0.14427,0.20228,seed_setting,
YOLOv8n 320px 4ep,ordinary,mAP50_B,5,0.085334,0.0142958431021048,0.0063932953943956,0.0675833662961467,0.1030846337038532,0.08539,0.07046,0.10679,seed_setting,
YOLOv8n 320px 4ep,ordinary,mAP50_95_B,5,0.028954,0.0050032719294477,0.0022375312288323,0.0227416173719812,0.0351663826280187,0.02811,0.0244,0.03707,seed_setting,
YOLOv8s 640px 8ep,LODO mean,precision_B,5,0.2343351428571428,0.0650452752021424,0.0290891313934343,0.1535707663853864,0.3150995193288992,0.2507057142857142,0.14516,0.31137,seed_setting,
YOLOv8s 640px 8ep,LODO mean,recall_B,5,0.1818634285714286,0.021977501427132,0.0098286374333331,0.1545747562788868,0.2091521008639703,0.1713171428571429,0.1639885714285714,0.2186542857142857,seed_setting,
YOLOv8s 640px 8ep,LODO mean,mAP50_B,5,0.1226022857142857,0.0143262807455389,0.0064069075223542,0.1048138586843902,0.1403907127441812,0.1146414285714285,0.1114671428571428,0.1453628571428571,seed_setting,
YOLOv8s 640px 8ep,LODO mean,mAP50_95_B,5,0.0502788571428571,0.0071325186180433,0.0031897592961455,0.0414226655583146,0.0591350487273996,0.0484514285714285,0.04363,0.06246,seed_setting,
YOLOv8s 640px 8ep,ordinary,precision_B,5,0.285752,0.0301392098436571,0.0134786643997096,0.2483292282028224,0.3231747717971776,0.28098,0.25774,0.33343,seed_setting,
YOLOv8s 640px 8ep,ordinary,recall_B,5,0.2632379999999999,0.0143335993386169,0.0064101804966787,0.245440485736562,0.2810355142634379,0.26034,0.25067,0.28786,seed_setting,
YOLOv8s 640px 8ep,ordinary,mAP50_B,5,0.183906,0.0105979540478339,0.0047395491346751,0.1707469020041867,0.1970650979958132,0.18136,0.16896,0.19637,seed_setting,
YOLOv8s 640px 8ep,ordinary,mAP50_95_B,5,0.070928,0.0039607978994137,0.0017713226696454,0.0660100198441369,0.0758459801558631,0.06989,0.06551,0.07499,seed_setting,
YOLOv8n 320px 4ep,,precision_B,5,0.207234,0.1486956469773073,0.066498714919914,0.0226039684586611,0.3918640315413388,0.10745,0.09132,0.38724,lodo_domain,China_Drone
YOLOv8n 320px 4ep,,recall_B,5,0.127288,0.0294471317788337,0.0131691576799733,0.0907245566198601,0.1638514433801398,0.13821,0.08842,0.16322,lodo_domain,China_Drone
YOLOv8n 320px 4ep,,mAP50_B,5,0.07798,0.0056478712804029,0.0025258048222299,0.0709672415646347,0.0849927584353652,0.07798,0.06988,0.08381,lodo_domain,China_Drone
