train_per_domain,seed,prefix,source,setting,heldout_domain,n_runs,precision_B,recall_B,mAP50_B,mAP50_95_B
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,China_Drone,1,0.19757,0.3168,0.31691,0.18361
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.11583,0.14537,0.0792,0.01987
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.12973,0.09803,0.06907,0.02574
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,India,1,0.14851,0.06963,0.03896,0.0139
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Japan,1,0.25733,0.18562,0.15882,0.06065
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Norway,1,0.20207,0.09949,0.07023,0.02076
80,20260512,r14lc80_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,United_States,1,0.18808,0.21144,0.16061,0.06365
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,China_Drone,1,0.18392,0.16121,0.1111,0.03897
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.42097,0.09142,0.05412,0.01744
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.18819,0.17045,0.13123,0.03795
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,India,1,0.18026,0.06574,0.05509,0.02213
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Japan,1,0.30348,0.11706,0.03525,0.00973
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Norway,1,0.06509,0.04598,0.02144,0.00945
80,20260513,r14lc80_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,United_States,1,0.22502,0.31031,0.1532,0.06107
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,China_Drone,1,0.10555,0.16038,0.09122,0.02923
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.35345,0.1845,0.08091,0.02465
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.13642,0.15865,0.11368,0.04377
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,India,1,0.10827,0.09908,0.03044,0.01019
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Japan,1,0.16351,0.17401,0.11737,0.04218
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Norway,1,0.14315,0.10323,0.04635,0.01962
80,20260514,r14lc80_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,United_States,1,0.35246,0.31167,0.22956,0.08031
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,LODO domain,China_Drone,1,0.98818,0.25,0.29724,0.17945
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,LODO domain,China_MotorBike,1,0.121,0.20148,0.11452,0.03311
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,LODO domain,Czech_Republic,1,0.25262,0.22457,0.15345,0.05016
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,LODO domain,India,1,0.29866,0.0872,0.05927,0.02276
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,LODO domain,Japan,1,0.15712,0.26214,0.14461,0.0609
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,LODO domain,Norway,1,0.17577,0.09246,0.06014,0.02354
160,20260512,g4b_bridge_yolov8s_seed20260512,Round1-160-anchor,LODO domain,United_States,1,0.18624,0.41273,0.18831,0.0673
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,LODO domain,China_Drone,1,0.54611,0.10703,0.12258,0.05088
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,LODO domain,China_MotorBike,1,0.11521,0.23069,0.08544,0.02353
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,LODO domain,Czech_Republic,1,0.24876,0.24048,0.14921,0.04476
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,LODO domain,India,1,0.39965,0.07348,0.05144,0.02723
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,LODO domain,Japan,1,0.25598,0.23473,0.17006,0.06141
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,LODO domain,Norway,1,0.09362,0.0696,0.03061,0.01069
160,20260513,g4b_bridge_yolov8s_seed20260513,Round1-160-anchor,LODO domain,United_States,1,0.22625,0.34029,0.19315,0.08691
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,LODO domain,China_Drone,1,0.13476,0.16651,0.1064,0.0414
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,LODO domain,China_MotorBike,1,0.16177,0.15885,0.14425,0.05441
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,LODO domain,Czech_Republic,1,0.22071,0.19501,0.13954,0.05031
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,LODO domain,India,1,0.20256,0.09174,0.06978,0.02428
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,LODO domain,Japan,1,0.20901,0.19563,0.14796,0.05433
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,LODO domain,Norway,1,0.19101,0.08389,0.06256,0.02153
160,20260514,g4b_bridge_yolov8s_seed20260514,Round1-160-anchor,LODO domain,United_States,1,0.24568,0.29957,0.22654,0.08858
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,China_Drone,1,0.62125,0.27118,0.34924,0.21037
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.19955,0.26566,0.14664,0.0459
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.25895,0.22818,0.16758,0.05644
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,India,1,0.28442,0.08531,0.06416,0.02597
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Japan,1,0.40632,0.26479,0.24472,0.09404
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Norway,1,0.20575,0.11033,0.08835,0.03719
320,20260512,r14lc320_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,United_States,1,0.27112,0.27523,0.26738,0.12933
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,China_Drone,1,0.36381,0.22155,0.23661,0.09001
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.20357,0.26631,0.16571,0.04651
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.22711,0.24716,0.14492,0.04841
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,India,1,0.27399,0.07649,0.0508,0.02355
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Japan,1,0.26612,0.28537,0.21087,0.0828
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Norway,1,0.07687,0.06019,0.02989,0.0125
320,20260513,r14lc320_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,United_States,1,0.38188,0.34929,0.3329,0.16347
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,China_Drone,1,0.14784,0.20094,0.14418,0.06138
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.3254,0.20969,0.19446,0.07426
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.21189,0.16283,0.18096,0.06495
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,India,1,0.19276,0.1158,0.07288,0.03125
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Japan,1,0.24642,0.26108,0.17731,0.06623
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Norway,1,0.22161,0.14705,0.09821,0.03386
320,20260514,r14lc320_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,United_States,1,0.30529,0.39175,0.33318,0.13911
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,China_Drone,1,0.44931,0.45634,0.45293,0.25206
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.5207,0.2694,0.21836,0.08795
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.37602,0.20199,0.1955,0.06586
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,India,1,0.2655,0.12379,0.06959,0.02886
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Japan,1,0.52617,0.235,0.24007,0.11508
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,Norway,1,0.35612,0.09994,0.09805,0.04295
640,20260512,r14lc640_yolov8s_seed20260512,R14-round2-new-compute,LODO domain,United_States,1,0.35718,0.26183,0.28536,0.13005
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,China_Drone,1,0.59019,0.28154,0.25053,0.10958
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.34043,0.3016,0.22942,0.06218
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.35847,0.30587,0.24008,0.09183
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,India,1,0.42345,0.0961,0.09789,0.03921
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Japan,1,0.65776,0.26899,0.28477,0.11453
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,Norway,1,0.13182,0.11688,0.04709,0.01737
640,20260513,r14lc640_yolov8s_seed20260513,R14-round2-new-compute,LODO domain,United_States,1,0.43132,0.42258,0.40933,0.20175
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,China_Drone,1,0.31018,0.29226,0.20769,0.10585
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,China_MotorBike,1,0.32133,0.3054,0.28737,0.10809
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Czech_Republic,1,0.29851,0.30425,0.20408,0.07959
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,India,1,0.26722,0.1188,0.1057,0.04584
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Japan,1,0.35272,0.25478,0.25826,0.10981
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,Norway,1,0.41523,0.11617,0.11504,0.03468
640,20260514,r14lc640_yolov8s_seed20260514,R14-round2-new-compute,LODO domain,United_States,1,0.43704,0.4123,0.39194,0.1724
