domain,images,primary_boxes,additional_label_boxes,boxes_per_image,dominant_primary_label,dominant_primary_share,d40_share_primary,mAP50_640_mean,gain_80_to_640,rank_at_640,precision,recall,support_gt,predictions,mAP50_640_mz,recall_mz,additional_label_share,sampled_images,mean_brightness_0_1,mean_contrast_0_1,mean_width_px,mean_height_px,mean_area_mp
Norway,10201,11229,0,1.1007744338790315,D00,0.7632024222994034,0.0410544126814498,0.0867266666666666,0.0407199999999999,1,0.003786,0.178462,325,15318,-1.820268551136363,-4.714044181472938,0.0,500,0.5136104920152672,0.2540560379681616,3848.552,2038.204,7.843481792
India,9665,6831,1372,0.7067770305225038,D40,0.4665495535060752,0.4665495535060752,0.09106,0.0495633333333333,2,0.003648,0.394595,185,20013,-1.7704475284090897,-2.2424975162755985,0.16725588199439229,500,0.5196273236353184,0.24861849766042218,720.0,720.0,0.5184
Czech_Republic,3538,1745,0,0.4932165065008479,D00,0.566189111747851,0.1128939828080229,0.21322,0.1085599999999999,3,0.003111,0.535433,127,21858,-0.3659545738636361,-0.6319721026040944,0.0,500,0.46985223474945537,0.29629062088048386,600.0,600.0,0.36
China_MotorBike,2477,4650,277,1.8772708922083168,D00,0.5759139784946237,0.0505376344086021,0.24505,0.17364,4,0.006313,0.590698,215,20118,0.0,0.0,0.056220824030850415,500,0.5903600835762772,0.1222815054788864,512.0,512.0,0.262144
Japan,13133,16470,8284,1.2540927434706464,D20,0.376381299332119,0.1361870066788099,0.2610333333333333,0.1572199999999999,5,0.0052,0.649682,157,19616,0.183762926136363,0.6745,0.33465298537610083,500,0.4244463393208308,0.2731164156940048,610.016,610.016,0.37688326400000005
China_Drone,2401,3068,772,1.2778009162848811,D00,0.4647979139504563,0.0280312907431551,0.3037166666666667,0.13064,6,0.004691,0.769231,130,21318,0.6745,2.0415792163976665,0.20104166666666667,500,0.5731450212665633,0.08966136894291034,512.0,512.0,0.262144
United_States,6005,11014,0,1.8341382181515404,D00,0.6128563646268386,0.0122571272925367,0.36221,0.1810866666666666,7,0.005162,0.647059,187,23440,1.347007159090908,0.6445051963244278,0.0,500,0.6052793454733455,0.1904820524653506,640.0,640.0,0.4096
