threshold,accepted_predictions,referred_or_rejected_predictions,prediction_coverage,tp,fp,precision,residual_error_rate,gt_recall_after_acceptance
0.0,141681,0,1.0,649,141032,0.004581,0.995419,0.489442
0.001,141681,0,1.0,649,141032,0.004581,0.995419,0.489442
0.005,33918,107763,0.239397,509,33409,0.015007,0.984993,0.383861
0.01,17050,124631,0.120341,402,16648,0.023578,0.976422,0.303167
0.025,6432,135249,0.045398,265,6167,0.0412,0.9588,0.199849
0.05,2956,138725,0.020864,184,2772,0.062246,0.937754,0.138763
0.1,1344,140337,0.009486,104,1240,0.077381,0.922619,0.078431
0.2,602,141079,0.004249,49,553,0.081395,0.918605,0.036953
0.3,402,141279,0.002837,29,373,0.072139,0.927861,0.02187
0.5,254,141427,0.001793,9,245,0.035433,0.964567,0.006787
