domain,YOLOv8s 640,Faster R-CNN 8ep,RetinaNet 4ep,RT-DETR-L 8ep
Norway,0.0867266666666666,0.0500725470483303,0.0531428661197423,0.15057
India,0.09106,0.0455813935647408,0.0725266585747401,0.06683
Czech_Republic,0.21322,0.0352468360215425,0.1003424304071813,0.21109
China_MotorBike,0.24505,0.2099249884486198,0.2162195432174485,0.39978
Japan,0.2610333333333333,0.0922138437163084,0.1590376193635165,0.28283
China_Drone,0.3037166666666667,0.1397417988628149,0.1901884339749813,0.44745
United_States,0.36221,0.0306253067683428,0.1396536882093642,0.28608
