seed,model_label,setting,n_runs,evidence_layer,model,epochs,imgsz,precision_B,recall_B,mAP50_B,mAP50_95_B
20260512,YOLOv8n 320px 4ep,ordinary,1,R08-as-G4a-seed,yolov8n.pt,4,320,0.16639,0.15943,0.07447,0.0244
20260512,YOLOv8n 320px 4ep,LODO mean,7,R08-as-G4a-seed,yolov8n.pt,4,320,0.1722642857142857,0.0949857142857143,0.0585114285714285,0.0206057142857142
20260513,YOLOv8n 320px 4ep,ordinary,1,G4a,yolov8n.pt,4,320,0.21653,0.14427,0.08539,0.02973
20260513,YOLOv8n 320px 4ep,LODO mean,7,G4a,yolov8n.pt,4,320,0.2276914285714285,0.1106457142857142,0.0677485714285714,0.0197385714285714
20260514,YOLOv8n 320px 4ep,ordinary,1,G4a,yolov8n.pt,4,320,0.16424,0.20228,0.08956,0.02811
20260514,YOLOv8n 320px 4ep,LODO mean,7,G4a,yolov8n.pt,4,320,0.1577,0.1110314285714285,0.0658357142857142,0.02279
20260515,YOLOv8n 320px 4ep,ordinary,1,R14-round1-extra-seed,yolov8n.pt,4,320,0.24236,0.16138,0.10679,0.03707
20260515,YOLOv8n 320px 4ep,LODO mean,7,R14-round1-extra-seed,yolov8n.pt,4,320,0.23158,0.0880314285714285,0.0546628571428571,0.0202628571428571
20260516,YOLOv8n 320px 4ep,ordinary,1,R14-round1-extra-seed,yolov8n.pt,4,320,0.2842,0.15137,0.07046,0.02546
20260516,YOLOv8n 320px 4ep,LODO mean,7,R14-round1-extra-seed,yolov8n.pt,4,320,0.2797571428571428,0.0984814285714285,0.0626999999999999,0.0194
20260512,YOLOv8s 640px 8ep,ordinary,1,G4b,yolov8s.pt,8,640,0.33343,0.26034,0.18135,0.06958
20260512,YOLOv8s 640px 8ep,LODO mean,7,G4b,yolov8s.pt,8,640,0.31137,0.2186542857142857,0.1453628571428571,0.06246
20260513,YOLOv8s 640px 8ep,ordinary,1,G4b,yolov8s.pt,8,640,0.28098,0.25675,0.18136,0.06989
20260513,YOLOv8s 640px 8ep,LODO mean,7,G4b,yolov8s.pt,8,640,0.2693685714285714,0.1851857142857143,0.1146414285714285,0.04363
20260514,YOLOv8s 640px 8ep,ordinary,1,G4b,yolov8s.pt,8,640,0.26344,0.28786,0.19637,0.07467
20260514,YOLOv8s 640px 8ep,LODO mean,7,G4b,yolov8s.pt,8,640,0.1950714285714285,0.1701714285714285,0.1281471428571428,0.0478342857142857
20260515,YOLOv8s 640px 8ep,ordinary,1,R14-round1-extra-seed,yolov8s.pt,8,640,0.29317,0.26057,0.19149,0.07499
20260515,YOLOv8s 640px 8ep,LODO mean,7,R14-round1-extra-seed,yolov8s.pt,8,640,0.2507057142857142,0.1639885714285714,0.1133928571428571,0.0490185714285714
20260516,YOLOv8s 640px 8ep,ordinary,1,R14-round1-extra-seed,yolov8s.pt,8,640,0.25774,0.25067,0.16896,0.06551
20260516,YOLOv8s 640px 8ep,LODO mean,7,R14-round1-extra-seed,yolov8s.pt,8,640,0.14516,0.1713171428571429,0.1114671428571428,0.0484514285714285
