scope,domain,variant,prediction_rows,gt_objects,tp,fp,fn,stream_precision,stream_recall,ece_proxy,high_conf_gap,high_conf_predictions,peak_precision,threshold_at_peak_precision,coverage_at_peak_precision,reaches_0_10_precision_floor,min_threshold_for_0_10_precision,coverage_at_0_10_precision,precision_at_threshold_0_20,coverage_at_threshold_0_20
domain,China_Drone,source_only,10781.0,96.0,84.0,10697.0,12.0,0.007791485019942491,0.875,0.005621999999999999,0.497888,1,1.0,0.500000,9.3e-05,yes,0.100000,0.024117,0.393443,0.005658
domain,China_Drone,target_evidence_k20,10960.0,96.0,79.0,10881.0,17.0,0.007208029197080292,0.8229166666666666,0.005865,0.0,0,0.4375,0.300000,0.00146,yes,0.100000,0.02062,0.428571,0.003193
domain,China_MotorBike,source_only,11343.0,159.0,137.0,11206.0,22.0,0.012077933527285551,0.8616352201257862,0.006510999999999999,0.15041733333333332,9,0.555556,0.500000,0.000793,yes,0.100000,0.047871,0.267677,0.017456
domain,China_MotorBike,target_evidence_k20,12616.0,159.0,142.0,12474.0,17.0,0.01125554850982879,0.8930817610062893,0.003869,0.2576795,4,0.558824,0.300000,0.002695,yes,0.050000,0.068326,0.333333,0.007134
domain,Czech_Republic,source_only,6032.0,94.0,72.0,5960.0,22.0,0.011936339522546418,0.7659574468085106,0.003472,0.284759,1,1.0,0.500000,0.000166,yes,0.025000,0.06681,0.428571,0.004642
domain,Czech_Republic,target_evidence_k20,10664.0,94.0,81.0,10583.0,13.0,0.007595648912228057,0.8617021276595744,0.001132,0.0,0,0.888889,0.300000,0.000844,yes,0.050000,0.024944,0.571429,0.001969
domain,India,source_only,6294.0,147.0,54.0,6240.0,93.0,0.008579599618684462,0.3673469387755102,0.0019020000000000003,0.6445132000000001,5,0.222222,0.200000,0.00429,yes,0.100000,0.009215,0.222222,0.00429
domain,India,target_evidence_k20,9602.0,147.0,64.0,9538.0,83.0,0.006665278067069361,0.43537414965986393,0.001092,0.0,0,0.5,0.300000,0.000417,yes,0.050000,0.011977,0.4,0.001041
domain,Japan,source_only,7960.0,108.0,85.0,7875.0,23.0,0.010678391959798994,0.7870370370370371,0.003491,0.13472272727272727,11,0.727273,0.500000,0.001382,yes,0.050000,0.054523,0.302083,0.01206
domain,Japan,target_evidence_k20,6118.0,108.0,84.0,6034.0,24.0,0.013729977116704805,0.7777777777777778,0.003645,0.41142433333333334,3,0.666667,0.500000,0.00049,yes,0.050000,0.061621,0.392405,0.012913
domain,Norway,source_only,7566.0,227.0,83.0,7483.0,144.0,0.010970129526830557,0.3656387665198238,0.0020639999999999994,0.17656185714285716,7,0.714286,0.500000,0.000925,yes,0.050000,0.039783,0.35,0.00793
domain,Norway,target_evidence_k20,8419.0,227.0,108.0,8311.0,119.0,0.012828126855921131,0.47577092511013214,0.0036569999999999992,0.30270225,4,1.0,0.500000,0.000475,yes,0.025000,0.063903,0.5,0.005701
domain,United_States,source_only,17812.0,143.0,135.0,17677.0,8.0,0.007579160116775208,0.9440559440559441,0.012727,0.34012000000000003,14,0.928571,0.500000,0.000786,yes,0.100000,0.033461,0.378947,0.010667
domain,United_States,target_evidence_k20,17694.0,143.0,134.0,17560.0,9.0,0.00757318865152029,0.9370629370629371,0.006657999999999999,0.0,0,0.666667,0.300000,0.000339,yes,0.050000,0.04024,0.571429,0.002374
pooled,all_7_domains,source_only,67788.0,974.0,650.0,67138.0,324.0,0.009588717767156429,0.6673511293634496,0.005148,0.09433812500000001,48,0.6875,0.500000,0.000708,yes,0.100000,0.028058,0.328788,0.009736
pooled,all_7_domains,target_evidence_k20,76073.0,974.0,692.0,75381.0,282.0,0.009096525705572279,0.7104722792607803,0.0027329999999999993,0.10930863636363636,11,0.727273,0.500000,0.000145,yes,0.050000,0.042472,0.430769,0.004272
