domain,seed,k,status,mAP50_B,mAP50_95_B,precision_B,recall_B,elapsed_sec,train_images,eval_images,epochs,imgsz,batch,init_ckpt,results_csv,finished_at
China_Drone,20260512,5,ran,0.38865,0.21851,0.29864,0.45465,250.0,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:27:07
China_Drone,20260512,10,ran,0.39294,0.2138,0.4049,0.35078,248.8,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:31:16
China_Drone,20260512,20,ran,0.39776,0.21533,0.39603,0.49661,254.4,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:35:30
China_Drone,20260512,40,ran,0.41509,0.26389,0.45994,0.44594,242.1,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:39:32
China_Drone,20260512,80,ran,0.37616,0.21581,0.39392,0.3942,250.5,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:43:43
China_Drone,20260512,160,ran,0.47749,0.24181,0.56504,0.43808,238.1,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:47:41
China_Drone,20260512,320,ran,0.47949,0.25668,0.44317,0.49703,243.9,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:51:45
China_Drone,20260513,5,ran,0.27169,0.11823,0.30284,0.27581,224.9,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:24:08
China_Drone,20260513,10,ran,0.23021,0.08722,0.26837,0.26859,215.1,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:27:43
China_Drone,20260513,20,ran,0.28394,0.11252,0.47665,0.28196,217.1,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:31:20
China_Drone,20260513,40,ran,0.27349,0.10841,0.38656,0.25775,218.1,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:34:59
China_Drone,20260513,80,ran,0.20886,0.09009,0.25673,0.24689,218.9,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:38:38
China_Drone,20260513,160,ran,0.28208,0.10939,0.39918,0.31683,223.8,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:42:21
China_Drone,20260513,320,ran,0.3176,0.13682,0.43298,0.30848,230.9,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:46:12
China_Drone,20260514,5,ran,0.26468,0.11879,0.39596,0.27783,227.1,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:28:46
China_Drone,20260514,10,ran,0.22687,0.10475,0.29633,0.26741,213.3,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:32:19
China_Drone,20260514,20,ran,0.20209,0.08556,0.28682,0.27043,170.9,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:35:10
China_Drone,20260514,40,ran,0.24281,0.13213,0.52443,0.25283,170.7,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:38:01
China_Drone,20260514,80,ran,0.2294,0.12841,0.53556,0.21509,171.4,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:40:52
China_Drone,20260514,160,ran,0.23555,0.12117,0.35089,0.25425,174.1,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:43:47
China_Drone,20260514,320,ran,0.26291,0.13367,0.24873,0.36415,183.7,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:46:50
China_MotorBike,20260512,5,ran,0.24019,0.09633,0.27462,0.30546,235.6,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:55:41
China_MotorBike,20260512,10,ran,0.2229,0.08366,0.33373,0.25699,228.1,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 12:59:29
China_MotorBike,20260512,20,ran,0.23041,0.09314,0.58385,0.27001,225.1,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:03:14
China_MotorBike,20260512,40,ran,0.21089,0.07939,0.24069,0.32773,225.9,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:07:00
China_MotorBike,20260512,80,ran,0.20417,0.07243,0.2174,0.31479,229.6,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:10:49
China_MotorBike,20260512,160,ran,0.23287,0.07847,0.21185,0.35085,230.1,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:14:40
China_MotorBike,20260512,320,ran,0.37135,0.14708,0.39954,0.38099,366.2,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:20:46
China_MotorBike,20260513,5,ran,0.2453,0.07157,0.33434,0.43431,225.7,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:49:59
China_MotorBike,20260513,10,ran,0.20144,0.06222,0.24121,0.28201,214.6,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:53:33
China_MotorBike,20260513,20,ran,0.22346,0.07543,0.31863,0.32476,216.4,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 19:57:10
China_MotorBike,20260513,40,ran,0.22228,0.08186,0.26543,0.36381,217.1,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:00:47
China_MotorBike,20260513,80,ran,0.17586,0.06552,0.25358,0.26861,217.4,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:04:24
China_MotorBike,20260513,160,ran,0.26576,0.08697,0.32544,0.33322,223.8,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:08:08
China_MotorBike,20260513,320,ran,0.32571,0.12266,0.31963,0.45941,232.0,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:12:00
China_MotorBike,20260514,5,ran,0.31782,0.13467,0.38259,0.34868,181.1,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:49:52
China_MotorBike,20260514,10,ran,0.37843,0.1576,0.40601,0.45519,169.6,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:52:42
China_MotorBike,20260514,20,ran,0.25659,0.10894,0.28011,0.35488,170.2,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:55:32
China_MotorBike,20260514,40,ran,0.28207,0.11014,0.43323,0.34616,169.9,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 22:58:22
China_MotorBike,20260514,80,ran,0.32984,0.12827,0.42175,0.3775,170.9,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:01:13
China_MotorBike,20260514,160,ran,0.38005,0.15484,0.63792,0.36222,175.3,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:04:08
China_MotorBike,20260514,320,ran,0.42195,0.1712,0.42844,0.45278,180.6,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:07:09
Czech_Republic,20260512,5,ran,0.18897,0.06044,0.24105,0.22868,236.0,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:24:42
Czech_Republic,20260512,10,ran,0.15583,0.04944,0.218,0.19045,215.3,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:28:17
Czech_Republic,20260512,20,ran,0.19077,0.05937,0.25221,0.29971,217.2,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:31:55
Czech_Republic,20260512,40,ran,0.18474,0.05514,0.25007,0.1924,218.2,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:35:33
Czech_Republic,20260512,80,ran,0.23892,0.07642,0.2711,0.24153,219.6,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:39:12
Czech_Republic,20260512,160,ran,0.21439,0.07797,0.35485,0.19332,223.6,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:42:56
Czech_Republic,20260512,320,ran,0.24946,0.08429,0.36513,0.25599,232.3,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:46:48
Czech_Republic,20260513,5,ran,0.2059,0.07451,0.26796,0.25974,228.4,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:15:49
Czech_Republic,20260513,10,ran,0.20495,0.08109,0.28955,0.24,216.0,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:19:26
Czech_Republic,20260513,20,ran,0.19568,0.0692,0.30872,0.22782,214.5,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:23:00
Czech_Republic,20260513,40,ran,0.26209,0.10154,0.32294,0.26658,216.1,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:26:36
Czech_Republic,20260513,80,ran,0.19409,0.06414,0.22917,0.26983,218.3,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:30:15
Czech_Republic,20260513,160,ran,0.24581,0.0815,0.22945,0.26864,221.4,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:33:56
Czech_Republic,20260513,320,ran,0.20816,0.0774,0.34703,0.30095,230.3,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:37:46
Czech_Republic,20260514,5,ran,0.17149,0.0684,0.18305,0.26731,177.4,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:10:07
Czech_Republic,20260514,10,ran,0.1721,0.06507,0.21927,0.24101,166.7,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:12:53
Czech_Republic,20260514,20,ran,0.18695,0.07701,0.25107,0.26021,169.3,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:15:43
Czech_Republic,20260514,40,ran,0.19895,0.07572,0.28859,0.28539,170.1,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:18:33
Czech_Republic,20260514,80,ran,0.24857,0.09689,0.29945,0.23942,174.6,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:21:27
Czech_Republic,20260514,160,ran,0.20531,0.08949,0.31841,0.27558,174.9,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:24:22
Czech_Republic,20260514,320,ran,0.2217,0.08638,0.28599,0.25801,182.1,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:27:24
India,20260512,5,ran,0.07519,0.02795,0.3062,0.10207,225.9,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:50:34
India,20260512,10,ran,0.05316,0.02353,0.226,0.09316,216.2,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:54:10
India,20260512,20,ran,0.0823,0.03208,0.26554,0.12771,216.9,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 13:57:47
India,20260512,40,ran,0.05667,0.01976,0.21082,0.09671,220.0,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 14:01:27
India,20260512,80,ran,0.0709,0.02708,0.22566,0.10758,223.3,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 14:05:11
India,20260512,160,ran,0.10827,0.04122,0.26712,0.1416,231.4,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 14:09:02
India,20260512,320,ran,0.13413,0.0451,0.21166,0.19025,262.8,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 14:13:25
India,20260513,5,ran,0.07422,0.03179,0.24807,0.09339,239.6,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:41:47
India,20260513,10,ran,0.07687,0.0264,0.46945,0.07757,241.3,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:45:48
India,20260513,20,ran,0.09012,0.03581,0.33241,0.1339,233.7,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:49:42
India,20260513,40,ran,0.07331,0.03507,0.19075,0.1378,233.1,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:53:35
India,20260513,80,ran,0.11419,0.05541,0.2534,0.14761,236.1,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 20:57:31
India,20260513,160,ran,0.14954,0.05858,0.2876,0.16008,240.4,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 21:01:32
India,20260513,320,ran,0.12036,0.05185,0.3203,0.13346,249.2,4160,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 21:05:41
India,20260514,5,ran,0.07895,0.03099,0.24482,0.16203,180.9,3845,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:30:26
India,20260514,10,ran,0.0502,0.01798,0.1159,0.11552,168.0,3850,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:33:14
India,20260514,20,ran,0.055,0.02,0.14904,0.08751,169.2,3860,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:36:03
India,20260514,40,ran,0.07241,0.02986,0.22696,0.11322,168.0,3880,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:38:51
India,20260514,80,ran,0.141,0.05725,0.23055,0.14056,170.6,3920,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:41:42
India,20260514,160,ran,0.15447,0.06434,0.21969,0.18669,173.7,4000,80,4,640,8,<local_path_removed>,<local_path_removed>,2026-06-12 23:44:36
