domain,seed,k,selection,status,mAP50_B,mAP50_95_B,precision_B,recall_B,elapsed_sec,train_images,eval_images,finished_at
China_Drone,20260512,5,active,ran,0.40559,0.23924,0.34937,0.38117,146.7,3845,80,2026-06-13 10:43:46
China_Drone,20260512,10,active,ran,0.39422,0.20705,0.31436,0.40836,122.9,3850,80,2026-06-13 10:45:49
China_Drone,20260512,20,active,ran,0.30136,0.15259,0.1953,0.3886,122.3,3860,80,2026-06-13 10:47:51
China_Drone,20260512,40,active,ran,0.40089,0.22161,0.47564,0.36251,123.8,3880,80,2026-06-13 10:49:55
China_Drone,20260512,80,active,ran,0.42283,0.21467,0.46257,0.41229,126.1,3920,80,2026-06-13 10:52:01
China_Drone,20260512,160,active,ran,0.4283,0.20695,0.27081,0.43631,131.4,4000,80,2026-06-13 10:54:13
China_Drone,20260512,320,active,ran,0.4826,0.28985,0.55643,0.44889,136.5,4160,80,2026-06-13 10:56:29
China_MotorBike,20260512,5,active,ran,0.23417,0.09478,0.31192,0.32353,182.6,3845,80,2026-06-13 15:13:42
China_MotorBike,20260512,10,active,ran,0.22955,0.0781,0.31656,0.3033,169.8,3850,80,2026-06-13 15:16:32
China_MotorBike,20260512,20,active,ran,0.24442,0.09749,0.64324,0.25611,170.0,3860,80,2026-06-13 15:19:22
China_MotorBike,20260512,40,active,ran,0.28822,0.10218,0.41865,0.3784,170.1,3880,80,2026-06-13 15:22:12
China_MotorBike,20260512,80,active,ran,0.20254,0.08553,0.21871,0.25913,173.6,3920,80,2026-06-13 15:25:06
China_MotorBike,20260512,160,active,ran,0.25644,0.09028,0.26223,0.34036,174.9,4000,80,2026-06-13 15:28:01
China_MotorBike,20260512,320,active,ran,0.37135,0.14708,0.39954,0.38099,180.5,4160,80,2026-06-13 15:31:01
Czech_Republic,20260512,5,active,ran,0.12678,0.04474,0.18775,0.18926,123.9,3845,80,2026-06-13 10:59:38
Czech_Republic,20260512,10,active,ran,0.10787,0.03861,0.1925,0.23606,124.5,3850,80,2026-06-13 11:01:43
Czech_Republic,20260512,20,active,ran,0.20117,0.06714,0.32325,0.21845,125.3,3860,80,2026-06-13 11:03:48
Czech_Republic,20260512,40,active,ran,0.18589,0.06332,0.32374,0.22445,126.8,3880,80,2026-06-13 11:05:55
Czech_Republic,20260512,80,active,ran,0.18701,0.06789,0.26448,0.20657,128.4,3920,80,2026-06-13 11:08:04
Czech_Republic,20260512,160,active,ran,0.15818,0.05706,0.19306,0.28263,129.6,4000,80,2026-06-13 11:10:13
Czech_Republic,20260512,320,active,ran,0.23339,0.08552,0.32842,0.23573,135.3,4160,80,2026-06-13 11:12:29
India,20260512,5,active,ran,0.08553,0.03233,0.3193,0.11459,177.6,3845,80,2026-06-13 11:15:26
India,20260512,10,active,ran,0.04362,0.0211,0.16773,0.07144,171.6,3850,80,2026-06-13 11:18:18
India,20260512,20,active,ran,0.06442,0.02973,0.27889,0.10651,173.3,3860,80,2026-06-13 11:21:11
India,20260512,40,active,ran,0.06753,0.02666,0.31352,0.10117,173.4,3880,80,2026-06-13 11:24:05
India,20260512,80,active,ran,0.07184,0.0258,0.30077,0.11388,175.5,3920,80,2026-06-13 11:27:00
India,20260512,160,active,ran,0.07855,0.02977,0.29183,0.10598,179.7,4000,80,2026-06-13 11:30:00
India,20260512,320,active,ran,0.13413,0.0451,0.21166,0.19025,185.3,4160,80,2026-06-13 11:33:05
Japan,20260512,5,active,ran,0.24691,0.11145,0.5222,0.20962,177.1,3845,80,2026-06-13 11:36:03
Japan,20260512,10,active,ran,0.22029,0.08697,0.48979,0.22707,174.9,3850,80,2026-06-13 11:38:57
Japan,20260512,20,active,ran,0.23395,0.10489,0.32108,0.28019,173.5,3860,80,2026-06-13 11:41:51
Japan,20260512,40,active,ran,0.22963,0.10328,0.59183,0.1754,174.7,3880,80,2026-06-13 11:44:46
Japan,20260512,80,active,ran,0.2212,0.0975,0.37515,0.17651,174.5,3920,80,2026-06-13 11:47:40
Japan,20260512,160,active,ran,0.29831,0.12591,0.33111,0.35939,178.5,4000,80,2026-06-13 11:50:39
Japan,20260512,320,active,ran,0.27678,0.12762,0.36574,0.30229,185.9,4160,80,2026-06-13 11:53:45
Norway,20260512,5,active,ran,0.09586,0.04122,0.20726,0.10665,177.0,3845,80,2026-06-13 11:56:42
Norway,20260512,10,active,ran,0.10245,0.04257,0.30181,0.11802,172.2,3850,80,2026-06-13 11:59:34
Norway,20260512,20,active,ran,0.09178,0.03906,0.18712,0.13523,173.0,3860,80,2026-06-13 12:02:27
