domain,k0_mean,k320_mean,k0_seed_range,k320_seed_range,kstar_mean,kstar_worst_seed,decision_state,maintenance_screening_action
China_Drone,0.304,0.353,0.208-0.453,0.263-0.479,0,0,screening evidence,accept into monitored screening
China_MotorBike,0.245,0.373,0.218-0.287,0.326-0.422,0,0,screening evidence,accept into monitored screening
Czech_Republic,0.213,0.226,0.196-0.240,0.208-0.249,0,160,seed-sensitive,bounded pilot/relabel
India,0.091,0.130,0.070-0.106,0.120-0.136,>320,>320,censored,withhold and re-audit
Japan,0.261,0.299,0.240-0.285,0.277-0.334,0,0,screening evidence,accept into monitored screening
Norway,0.087,0.108,0.047-0.115,0.079-0.131,>320,>320,censored,withhold and re-audit
United_States,0.362,0.424,0.285-0.409,0.401-0.463,0,0,screening evidence,accept into monitored screening
