domain,seed,k,model,status,mAP50_B,mAP50_95_B,precision_B,recall_B,elapsed_sec,train_images,eval_images,finished_at
China_Drone,20260512,0,yolov8n,ran,0.35065,0.20149,0.85971,0.24773,172.6,3840,80,2026-06-13 12:18:32
China_Drone,20260512,5,yolov8n,ran,0.36145,0.20813,0.27564,0.38745,94.6,3845,80,2026-06-13 12:20:07
China_Drone,20260512,10,yolov8n,ran,0.33263,0.23076,0.87971,0.25623,94.5,3850,80,2026-06-13 12:21:41
China_Drone,20260512,20,yolov8n,ran,0.24377,0.12973,0.23636,0.37753,95.2,3860,80,2026-06-13 12:23:17
China_Drone,20260512,40,yolov8n,ran,0.31891,0.15612,0.9902,0.25,96.6,3880,80,2026-06-13 12:24:53
China_Drone,20260512,80,yolov8n,ran,0.38389,0.22956,0.36256,0.42975,96.9,3920,80,2026-06-13 12:26:30
China_Drone,20260512,160,yolov8n,ran,0.30679,0.1723,0.29752,0.28187,100.0,4000,80,2026-06-13 12:28:10
China_Drone,20260512,320,yolov8n,ran,0.35497,0.18536,0.46454,0.3547,103.5,4160,80,2026-06-13 12:29:54
China_MotorBike,20260512,0,yolov8n,ran,0.23176,0.08715,0.2718,0.30285,243.1,3840,80,2026-06-13 15:56:15
China_MotorBike,20260512,5,yolov8n,ran,0.23215,0.10128,0.23991,0.29204,131.4,3845,80,2026-06-13 15:58:27
China_MotorBike,20260512,10,yolov8n,ran,0.22995,0.08922,0.24704,0.29759,130.6,3850,80,2026-06-13 16:00:37
China_MotorBike,20260512,20,yolov8n,ran,0.19161,0.07717,0.25424,0.25836,136.9,3860,80,2026-06-13 16:02:54
China_MotorBike,20260512,40,yolov8n,ran,0.22294,0.08782,0.27132,0.33315,153.8,3880,80,2026-06-13 16:05:28
China_MotorBike,20260512,80,yolov8n,ran,0.22272,0.08621,0.25221,0.30072,165.0,3920,80,2026-06-13 16:08:13
China_MotorBike,20260512,160,yolov8n,ran,0.23078,0.08577,0.28294,0.28467,175.8,4000,80,2026-06-13 16:11:09
China_MotorBike,20260512,320,yolov8n,ran,0.35197,0.14863,0.40988,0.39646,176.4,4160,80,2026-06-13 16:14:05
Czech_Republic,20260512,0,yolov8n,ran,0.18659,0.07485,0.24442,0.18941,365.3,3840,80,2026-06-13 16:20:11
Czech_Republic,20260512,5,yolov8n,ran,0.19191,0.06926,0.22517,0.22648,182.2,3845,80,2026-06-13 16:23:13
Czech_Republic,20260512,10,yolov8n,ran,0.17657,0.05868,0.24946,0.27935,125.6,3850,80,2026-06-13 16:25:18
Czech_Republic,20260512,20,yolov8n,ran,0.16951,0.05887,0.19459,0.18385,125.8,3860,80,2026-06-13 16:27:24
Czech_Republic,20260512,40,yolov8n,ran,0.12325,0.05104,0.17247,0.21592,131.1,3880,80,2026-06-13 16:29:35
Czech_Republic,20260512,80,yolov8n,ran,0.22139,0.0769,0.28401,0.28913,129.1,3920,80,2026-06-13 16:31:44
Czech_Republic,20260512,160,yolov8n,ran,0.23536,0.07609,0.25194,0.26291,127.3,4000,80,2026-06-13 16:33:52
Czech_Republic,20260512,320,yolov8n,ran,0.19573,0.05981,0.24742,0.26367,133.4,4160,80,2026-06-13 16:36:05
India,20260512,0,yolov8n,ran,0.0798,0.0301,0.3431,0.1001,242.0,3840,80,2026-06-13 16:40:07
India,20260512,5,yolov8n,ran,0.07007,0.02683,0.2317,0.09618,123.0,3845,80,2026-06-13 16:42:10
India,20260512,10,yolov8n,ran,0.06631,0.02694,0.31421,0.09739,123.8,3850,80,2026-06-13 16:44:14
India,20260512,20,yolov8n,ran,0.0719,0.02946,0.32044,0.11346,123.9,3860,80,2026-06-13 16:46:18
India,20260512,40,yolov8n,ran,0.05238,0.01755,0.2413,0.08095,124.1,3880,80,2026-06-13 16:48:22
India,20260512,80,yolov8n,ran,0.06925,0.02459,0.25406,0.11585,126.4,3920,80,2026-06-13 16:50:29
India,20260512,160,yolov8n,ran,0.08532,0.02799,0.35435,0.09952,129.2,4000,80,2026-06-13 16:52:38
India,20260512,320,yolov8n,ran,0.12717,0.04453,0.19604,0.16367,136.3,4160,80,2026-06-13 16:54:54
Japan,20260512,0,yolov8n,ran,0.25015,0.11484,0.38327,0.2812,244.3,3840,80,2026-06-13 16:58:58
Japan,20260512,5,yolov8n,ran,0.28059,0.12813,0.36197,0.38951,125.3,3845,80,2026-06-13 17:01:04
Japan,20260512,10,yolov8n,ran,0.25024,0.11951,0.44927,0.26112,126.1,3850,80,2026-06-13 17:03:10
Japan,20260512,20,yolov8n,ran,0.24278,0.10873,0.30029,0.32593,123.5,3860,80,2026-06-13 17:05:13
Japan,20260512,40,yolov8n,ran,0.27259,0.11826,0.43222,0.26972,125.0,3880,80,2026-06-13 17:07:19
Japan,20260512,80,yolov8n,ran,0.24189,0.10074,0.33538,0.28743,130.1,3920,80,2026-06-13 17:09:29
Japan,20260512,160,yolov8n,ran,0.29944,0.1402,0.36261,0.33381,130.9,4000,80,2026-06-13 17:11:40
Japan,20260512,320,yolov8n,ran,0.26187,0.12156,0.36747,0.28345,133.1,4160,80,2026-06-13 17:13:53
Norway,20260512,0,yolov8n,ran,0.08877,0.0367,0.20835,0.11165,236.6,3840,80,2026-06-13 17:17:49
Norway,20260512,5,yolov8n,ran,0.05865,0.01928,0.22811,0.08519,127.3,3845,80,2026-06-13 17:19:57
Norway,20260512,10,yolov8n,ran,0.09292,0.03829,0.16772,0.1499,129.4,3850,80,2026-06-13 17:22:06
Norway,20260512,20,yolov8n,ran,0.07091,0.03217,0.20317,0.08157,131.6,3860,80,2026-06-13 17:24:18
Norway,20260512,40,yolov8n,ran,0.09096,0.03815,0.19474,0.08902,130.9,3880,80,2026-06-13 17:26:29
Norway,20260512,80,yolov8n,ran,0.07844,0.03365,0.25034,0.08336,134.1,3920,80,2026-06-13 17:28:43
Norway,20260512,160,yolov8n,ran,0.07681,0.03086,0.19937,0.10675,131.0,4000,80,2026-06-13 17:30:54
Norway,20260512,320,yolov8n,ran,0.11672,0.05169,0.5015,0.1179,134.9,4160,80,2026-06-13 17:33:09
United_States,20260512,0,yolov8n,ran,0.2756,0.12287,0.29568,0.30128,231.8,3840,80,2026-06-13 17:37:01
United_States,20260512,5,yolov8n,ran,0.28921,0.12454,0.72449,0.23167,124.5,3845,80,2026-06-13 17:39:05
United_States,20260512,10,yolov8n,ran,0.3245,0.15641,0.3977,0.2741,123.8,3850,80,2026-06-13 17:41:09
United_States,20260512,20,yolov8n,ran,0.2964,0.13188,0.24805,0.3671,123.7,3860,80,2026-06-13 17:43:13
