seed,evidence_layer,source_csv,name,status,data,model,epochs,imgsz,batch,workers,device,final_epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision_B,recall_B,mAP50_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv,setting,heldout_domain,train_images,val_images,subset_yaml
20260512,R08-as-G4a-seed,data_processed\yolo_g3_frozen_subset_ordinary_result.csv,ordinary_pretrained_4epoch,existing,data_processed\yolo_g3_frozen_subset_ordinary\dataset.yaml,yolov8n.pt,4,320,8,0,cpu,4,2.38711,2.88648,1.76898,0.16639,0.15943,0.07447,0.0244,2.44918,2.90108,1.84254,runs\detect\outputs\yolo_g3_frozen_subset_ordinary\ordinary_pretrained_4epoch\results.csv,ordinary,mixed,,,
20260513,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_ordinary_result.csv,ordinary_yolov8n_seed20260513_4ep_320px,ran,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_ordinary\dataset.yaml,yolov8n.pt,4,320,8,0,cuda,4,2.41011,2.89777,1.7569,0.21653,0.14427,0.08539,0.02973,2.43582,2.69856,1.83428,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_ordinary_train\ordinary_yolov8n_seed20260513_4ep_320px\results.csv,ordinary,mixed,,,
20260514,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_ordinary_result.csv,ordinary_yolov8n_seed20260514_4ep_320px,ran,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_ordinary\dataset.yaml,yolov8n.pt,4,320,8,0,cuda,4,2.4742,2.93374,1.81456,0.16424,0.20228,0.08956,0.02811,2.47062,2.71928,1.85742,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_ordinary_train\ordinary_yolov8n_seed20260514_4ep_320px\results.csv,ordinary,mixed,,,
20260512,R08-as-G4a-seed,data_processed\yolo_g3_frozen_subset_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cpu,4,2.48061,2.96287,1.80664,0.09132,0.08842,0.06988,0.02368,2.55688,3.1894,2.18939,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_China_Drone_pretrained_4epoch_r08b\results.csv,lodo,China_Drone,960.0,80.0,data_processed\yolo_g3_frozen_subset_lodo\heldout_China_Drone\dataset.yaml
20260512,R08-as-G4a-seed,data_processed\yolo_g3_frozen_subset_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cpu,4,2.54987,3.03985,1.82091,0.37095,0.12291,0.06573,0.01919,2.68824,3.27737,2.39245,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_China_MotorBike_pretrained_4epoch_r08b\results.csv,lodo,China_MotorBike,960.0,80.0,data_processed\yolo_g3_frozen_subset_lodo\heldout_China_MotorBike\dataset.yaml
20260512,R08-as-G4a-seed,data_processed\yolo_g3_frozen_subset_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cpu,4,2.36263,2.91519,1.77946,0.38321,0.10712,0.05425,0.02169,2.68224,3.36821,1.91494,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_Czech_Republic_pretrained_4epoch_r08b\results.csv,lodo,Czech_Republic,960.0,80.0,data_processed\yolo_g3_frozen_subset_lodo\heldout_Czech_Republic\dataset.yaml
20260512,R08-as-G4a-seed,data_processed\yolo_g3_frozen_subset_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cpu,4,2.44003,2.86218,1.83,0.10847,0.07158,0.06006,0.01875,2.78274,3.62468,2.07477,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_India_pretrained_4epoch_r08b\results.csv,lodo,India,960.0,80.0,data_processed\yolo_g3_frozen_subset_lodo\heldout_India\dataset.yaml
20260512,R08-as-G4a-seed,data_processed\yolo_g3_frozen_subset_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cpu,4,2.47134,2.90952,1.80286,0.087,0.15015,0.07969,0.02688,2.36732,3.27914,1.84427,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_Japan_pretrained_4epoch_r08b\results.csv,lodo,Japan,960.0,80.0,data_processed\yolo_g3_frozen_subset_lodo\heldout_Japan\dataset.yaml
20260512,R08-as-G4a-seed,data_processed\yolo_g3_frozen_subset_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cpu,4,2.33206,2.86477,1.82005,0.03581,0.02312,0.01201,0.00417,3.12017,3.67628,2.02816,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_Norway_pretrained_4epoch_r08b\results.csv,lodo,Norway,960.0,80.0,data_processed\yolo_g3_frozen_subset_lodo\heldout_Norway\dataset.yaml
20260512,R08-as-G4a-seed,data_processed\yolo_g3_frozen_subset_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cpu,4,2.42403,2.95368,1.8005,0.12909,0.1016,0.06796,0.02988,2.52087,3.06886,1.96705,runs\detect\outputs\yolo_g3_frozen_subset_lodo\heldout_United_States_pretrained_4epoch_r08b\results.csv,lodo,United_States,960.0,80.0,data_processed\yolo_g3_frozen_subset_lodo\heldout_United_States\dataset.yaml
20260513,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.48595,3.02131,1.84224,0.10745,0.16322,0.08268,0.02151,2.61098,2.92181,2.18004,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_China_Drone_yolov8n_seed20260513_4ep_320px\results.csv,lodo,China_Drone,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_China_Drone\dataset.yaml
