seed,evidence_layer,source_csv,name,status,data,model,epochs,imgsz,batch,workers,device,final_epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision_B,recall_B,mAP50_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv,setting,heldout_domain,train_images,val_images,subset_yaml
20260513,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.5445,3.08308,1.78794,0.15655,0.1099,0.06698,0.01314,2.93565,3.11022,2.63136,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_China_MotorBike_yolov8n_seed20260513_4ep_320px\results.csv,lodo,China_MotorBike,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_China_MotorBike\dataset.yaml
20260513,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.42131,2.93492,1.80272,0.24112,0.10672,0.08776,0.02076,2.8257,2.91455,1.89162,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_Czech_Republic_yolov8n_seed20260513_4ep_320px\results.csv,lodo,Czech_Republic,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_Czech_Republic\dataset.yaml
20260513,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.44074,2.89501,1.74935,0.41761,0.09984,0.04057,0.01397,2.62084,3.30706,1.91574,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_India_yolov8n_seed20260513_4ep_320px\results.csv,lodo,India,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_India\dataset.yaml
20260513,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.48588,2.98553,1.80902,0.45545,0.10769,0.06994,0.0232,2.46719,2.97547,1.92905,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_Japan_yolov8n_seed20260513_4ep_320px\results.csv,lodo,Japan,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_Japan\dataset.yaml
20260513,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.39165,2.94347,1.81509,0.05071,0.01478,0.00863,0.00297,3.32869,3.4255,1.96234,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_Norway_yolov8n_seed20260513_4ep_320px\results.csv,lodo,Norway,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_Norway\dataset.yaml
20260513,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.42086,3.00093,1.82136,0.16495,0.17237,0.11768,0.04262,2.45795,2.72801,2.00081,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_United_States_yolov8n_seed20260513_4ep_320px\results.csv,lodo,United_States,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_United_States\dataset.yaml
20260514,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.50947,3.01525,1.83426,0.09857,0.13821,0.07555,0.02648,2.29905,2.81758,2.05524,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_China_Drone_yolov8n_seed20260514_4ep_320px\results.csv,lodo,China_Drone,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_China_Drone\dataset.yaml
20260514,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.59459,3.07701,1.78633,0.09872,0.14132,0.0792,0.02182,2.764,2.87787,2.31895,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_China_MotorBike_yolov8n_seed20260514_4ep_320px\results.csv,lodo,China_MotorBike,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_China_MotorBike\dataset.yaml
20260514,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.47051,2.92549,1.79681,0.16663,0.10297,0.07844,0.02677,2.61819,2.65647,1.86655,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_Czech_Republic_yolov8n_seed20260514_4ep_320px\results.csv,lodo,Czech_Republic,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_Czech_Republic\dataset.yaml
20260514,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.48285,2.86736,1.803,0.45381,0.05905,0.0619,0.02374,2.60752,3.37179,1.99857,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_India_yolov8n_seed20260514_4ep_320px\results.csv,lodo,India,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_India\dataset.yaml
20260514,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.5083,2.93927,1.84242,0.0717,0.1569,0.05269,0.02018,2.38636,2.93479,1.93599,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_Japan_yolov8n_seed20260514_4ep_320px\results.csv,lodo,Japan,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_Japan\dataset.yaml
20260514,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.40364,2.9441,1.83692,0.04164,0.01516,0.0104,0.00302,3.30913,3.27266,2.04202,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_Norway_yolov8n_seed20260514_4ep_320px\results.csv,lodo,Norway,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_Norway\dataset.yaml
20260514,G4a,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_results.csv,,ran,,yolov8n.pt,4,320,8,0,cuda,4,2.47785,2.97226,1.80415,0.17283,0.16361,0.10267,0.03752,2.39057,2.77979,1.91552,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_United_States_yolov8n_seed20260514_4ep_320px\results.csv,lodo,United_States,960.0,80.0,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_United_States\dataset.yaml
