seed,heldout_domain,precision_B_yolov8n,precision_B_yolov8s,recall_B_yolov8n,recall_B_yolov8s,mAP50_B_yolov8n,mAP50_B_yolov8s,mAP50_95_B_yolov8n,mAP50_95_B_yolov8s,precision_B_delta_yolov8s_minus_yolov8n,recall_B_delta_yolov8s_minus_yolov8n,mAP50_B_delta_yolov8s_minus_yolov8n,mAP50_95_B_delta_yolov8s_minus_yolov8n
20260512,China_Drone,0.09132,0.98818,0.08842,0.25,0.06988,0.29724,0.02368,0.17945,0.89686,0.16158,0.22736,0.15577
20260513,China_Drone,0.10745,0.54611,0.16322,0.10703,0.08268,0.12258,0.02151,0.05088,0.43866,-0.056190000000000004,0.03989999999999999,0.02937
20260514,China_Drone,0.09857,0.13476,0.13821,0.16651,0.07555,0.1064,0.02648,0.0414,0.036189999999999986,0.028299999999999992,0.03084999999999999,0.01492
20260512,China_MotorBike,0.37095,0.121,0.12291,0.20148,0.06573,0.11452,0.01919,0.03311,-0.24995,0.07856999999999999,0.04879,0.013920000000000002
20260513,China_MotorBike,0.15655,0.11521,0.1099,0.23069,0.06698,0.08544,0.01314,0.02353,-0.04133999999999999,0.12079000000000001,0.018460000000000004,0.010389999999999998
20260514,China_MotorBike,0.09872,0.16177,0.14132,0.15885,0.0792,0.14425,0.02182,0.05441,0.06305,0.01752999999999999,0.06504999999999998,0.03259
20260512,Czech_Republic,0.38321,0.25262,0.10712,0.22457,0.05425,0.15345,0.02169,0.05016,-0.13058999999999998,0.11744999999999998,0.09920000000000001,0.028470000000000002
20260513,Czech_Republic,0.24112,0.24876,0.10672,0.24048,0.08776,0.14921,0.02076,0.04476,0.007640000000000008,0.13376,0.061450000000000005,0.024
20260514,Czech_Republic,0.16663,0.22071,0.10297,0.19501,0.07844,0.13954,0.02677,0.05031,0.05407999999999999,0.09203999999999998,0.0611,0.023540000000000002
20260512,India,0.10847,0.29866,0.07158,0.0872,0.06006,0.05927,0.01875,0.02276,0.19018999999999997,0.015619999999999995,-0.000789999999999999,0.00401
20260513,India,0.41761,0.39965,0.09984,0.07348,0.04057,0.05144,0.01397,0.02723,-0.017959999999999976,-0.026359999999999995,0.010869999999999998,0.013260000000000001
20260514,India,0.45381,0.20256,0.05905,0.09174,0.0619,0.06978,0.02374,0.02428,-0.25125,0.032690000000000004,0.007879999999999998,0.0005399999999999988
20260512,Japan,0.087,0.15712,0.15015,0.26214,0.07969,0.14461,0.02688,0.0609,0.07012000000000002,0.11198999999999998,0.06491999999999999,0.03402
20260513,Japan,0.45545,0.25598,0.10769,0.23473,0.06994,0.17006,0.0232,0.06141,-0.19947000000000004,0.12704,0.10011999999999999,0.03821
20260514,Japan,0.0717,0.20901,0.1569,0.19563,0.05269,0.14796,0.02018,0.05433,0.13731,0.03872999999999999,0.09527000000000001,0.03415
20260512,Norway,0.03581,0.17577,0.02312,0.09246,0.01201,0.06014,0.00417,0.02354,0.13996,0.06934,0.04813,0.01937
20260513,Norway,0.05071,0.09362,0.01478,0.0696,0.00863,0.03061,0.00297,0.01069,0.04291,0.054819999999999994,0.02198,0.007719999999999999
20260514,Norway,0.04164,0.19101,0.01516,0.08389,0.0104,0.06256,0.00302,0.02153,0.14937,0.06873000000000001,0.052160000000000005,0.01851
20260512,United_States,0.12909,0.18624,0.1016,0.41273,0.06796,0.18831,0.02988,0.0673,0.05714999999999998,0.31113,0.12035,0.037419999999999995
20260513,United_States,0.16495,0.22625,0.17237,0.34029,0.11768,0.19315,0.04262,0.08691,0.06129999999999999,0.16791999999999999,0.07546999999999998,0.04429
20260514,United_States,0.17283,0.24568,0.16361,0.29957,0.10267,0.22654,0.03752,0.08858,0.07285,0.13596,0.12387,0.05106000000000001
