iou_threshold,false_positive_predictions,fp_overlapping_non_primary_xml,share_of_fp,non_primary_label_counts,domain_counts,model_label,split,source_csv
0.5,111282,204,0.001833,D44:104; Repair:55; D50:34; D01:11,Japan:125; China_Drone:33; India:24; China_MotorBike:22,YOLOv8s seed20260512,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_label_boundary_overlap.csv
0.1,118746,1462,0.012312,D44:742; Repair:353; D50:312; D01:55,Japan:705; India:404; China_MotorBike:177; China_Drone:176,YOLOv8s seed20260512,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_label_boundary_overlap.csv
0.3,118746,492,0.004143,D44:233; D50:130; Repair:111; D01:18,Japan:235; India:146; China_Drone:69; China_MotorBike:42,YOLOv8s seed20260512,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_label_boundary_overlap.csv
0.5,118746,151,0.001272,D44:65; D50:47; Repair:34; D01:5,Japan:74; India:43; China_Drone:19; China_MotorBike:15,YOLOv8s seed20260512,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_label_boundary_overlap.csv
0.1,97077,2043,0.021045,D44:1091; Repair:830; D43:110; D50:12,Japan:1047; China_MotorBike:572; China_Drone:258; India:166,YOLOv8s seed20260513,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_lodo_all_label_boundary_overlap.csv
0.3,97077,644,0.006634,D44:391; Repair:224; D43:23; D50:6,Japan:363; China_MotorBike:147; China_Drone:77; India:57,YOLOv8s seed20260513,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_lodo_all_label_boundary_overlap.csv
0.5,97077,196,0.002019,D44:137; Repair:54; D43:4; D50:1,Japan:115; China_MotorBike:41; India:27; China_Drone:13,YOLOv8s seed20260513,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_lodo_all_label_boundary_overlap.csv
0.1,131643,2032,0.015436,D44:1108; Repair:538; D50:219; D11:80; D01:50; D43:37,Japan:1209; China_MotorBike:429; India:285; China_Drone:109,YOLOv8s seed20260513,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_ordinary_label_boundary_overlap.csv
0.3,131643,604,0.004588,D44:338; Repair:146; D50:73; D01:22; D11:22; D43:3,Japan:366; China_MotorBike:110; India:92; China_Drone:36,YOLOv8s seed20260513,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_ordinary_label_boundary_overlap.csv
0.5,131643,175,0.001329,D44:93; Repair:41; D50:34; D01:6; D11:1,Japan:107; China_MotorBike:35; India:27; China_Drone:6,YOLOv8s seed20260513,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_ordinary_label_boundary_overlap.csv
0.1,111841,1715,0.015334,D44:831; Repair:342; D50:210; D01:129; D11:125; D43:78,Japan:901; India:472; China_Drone:205; China_MotorBike:137,YOLOv8s seed20260514,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_lodo_all_label_boundary_overlap.csv
0.3,111841,536,0.004793,D44:268; Repair:100; D50:59; D01:55; D11:38; D43:16,Japan:257; India:179; China_Drone:78; China_MotorBike:22,YOLOv8s seed20260514,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_lodo_all_label_boundary_overlap.csv
0.5,111841,181,0.001618,D44:96; Repair:27; D50:27; D01:20; D11:10; D43:1,Japan:88; India:66; China_Drone:22; China_MotorBike:5,YOLOv8s seed20260514,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_lodo_all_label_boundary_overlap.csv
0.1,121288,2227,0.018361,D44:1035; Repair:827; D50:250; D01:71; D43:44,Japan:859; China_MotorBike:706; India:541; China_Drone:121,YOLOv8s seed20260514,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_ordinary_label_boundary_overlap.csv
0.3,121288,713,0.005879,D44:366; Repair:225; D50:97; D01:21; D43:4,Japan:296; India:192; China_MotorBike:190; China_Drone:35,YOLOv8s seed20260514,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_ordinary_label_boundary_overlap.csv
0.5,121288,226,0.001863,D44:114; Repair:70; D50:37; D01:5,Japan:100; India:56; China_MotorBike:56; China_Drone:14,YOLOv8s seed20260514,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_ordinary_label_boundary_overlap.csv
