threshold,total_images,gt_positive_images,pred_positive_images_full,selected_images,accepted_predictions,image_review_coverage,selected_image_tp_rate,selected_image_fp_flag_rate,gt_image_recall_proxy,gt_image_miss_proxy,seed,model_label,split,source_csv
0.05,560.0,560.0,560.0,478.0,2766.0,0.853571,0.562762,0.974895,0.480357,0.519643,20260512,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g3_frozen_subset_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,349.0,1080.0,0.623214,0.52149,0.922636,0.325,0.675,20260512,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g3_frozen_subset_ordinary_image_level_coverage.csv
0.2,560.0,560.0,560.0,195.0,400.0,0.348214,0.569231,0.758974,0.198214,0.801786,20260512,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g3_frozen_subset_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,34.0,60.0,0.060714,0.676471,0.676471,0.041071,0.958929,20260512,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g3_frozen_subset_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,457.0,2956.0,0.816071,0.365427,0.969365,0.298214,0.701786,20260512,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g3_frozen_subset_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,315.0,1344.0,0.5625,0.314286,0.939683,0.176786,0.823214,20260512,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g3_frozen_subset_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,172.0,602.0,0.307143,0.27907,0.877907,0.085714,0.914286,20260512,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g3_frozen_subset_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,82.0,254.0,0.146429,0.109756,0.963415,0.016071,0.983929,20260512,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g3_frozen_subset_lodo_all_image_level_coverage.csv
0.05,560.0,560.0,560.0,544.0,6811.0,0.971429,0.768382,0.988971,0.746429,0.253571,20260512,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,485.0,2696.0,0.866071,0.701031,0.923711,0.607143,0.392857,20260512,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_image_level_coverage.csv
0.2,560.0,560.0,560.0,283.0,713.0,0.505357,0.713781,0.646643,0.360714,0.639286,20260512,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,41.0,53.0,0.073214,0.878049,0.317073,0.064286,0.935714,20260512,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,518.0,5384.0,0.925,0.600386,0.986486,0.555357,0.444643,20260512,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,430.0,1852.0,0.767857,0.504651,0.923256,0.3875,0.6125,20260512,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,222.0,404.0,0.396429,0.481982,0.761261,0.191071,0.808929,20260512,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,22.0,26.0,0.039286,0.681818,0.454545,0.026786,0.973214,20260512,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_image_level_coverage.csv
0.05,560.0,560.0,560.0,458.0,2847.0,0.817857,0.545852,0.9869,0.446429,0.553571,20260513,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,334.0,1128.0,0.596429,0.535928,0.904192,0.319643,0.680357,20260513,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_image_level_coverage.csv
0.2,560.0,560.0,560.0,174.0,428.0,0.310714,0.591954,0.741379,0.183929,0.816071,20260513,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,37.0,61.0,0.066071,0.648649,0.675676,0.042857,0.957143,20260513,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,419.0,2172.0,0.748214,0.372315,0.988067,0.278571,0.721429,20260513,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,273.0,728.0,0.4875,0.315018,0.923077,0.153571,0.846429,20260513,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,113.0,206.0,0.201786,0.292035,0.858407,0.058929,0.941071,20260513,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,20.0,24.0,0.035714,0.3,0.75,0.010714,0.989286,20260513,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_image_level_coverage.csv
0.05,560.0,560.0,560.0,544.0,7328.0,0.971429,0.762868,0.988971,0.741071,0.258929,20260513,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,475.0,3098.0,0.848214,0.72,0.930526,0.610714,0.389286,20260513,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_ordinary_image_level_coverage.csv
