seed,model_label,split,calibration_csv,n_predictions,ece_proxy,high_conf_n_predictions,high_conf_mean_confidence,high_conf_empirical_precision,high_conf_gap
20260512,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g3_frozen_subset_ordinary_calibration_bins.csv,151913,0.0018650000000000001,1080,0.2145356824074074,0.19537048796296297,0.019165194444444422
20260512,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g3_frozen_subset_lodo_all_calibration_bins.csv,141681,0.0035880000000000005,1344,0.3034900848214286,0.07738087351190476,0.22610921130952383
20260512,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_calibration_bins.csv,119821,0.004263,2696,0.18177811795252227,0.19028213427299706,0.008504016320474789
20260512,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_calibration_bins.csv,112123,0.0041530000000000004,1852,0.16970625269978398,0.13768925107991362,0.03201700161987037
20260513,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_calibration_bins.csv,154733,0.0020109999999999998,1128,0.21725204432624115,0.1781913829787234,0.03906066134751776
20260513,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_calibration_bins.csv,144652,0.0020789999999999997,728,0.19441195604395603,0.12499962912087913,0.0694123269230769
20260513,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_ordinary_calibration_bins.csv,132693,0.005041,3098,0.18676704002582314,0.1539702220787605,0.032796817947062656
20260513,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_lodo_all_calibration_bins.csv,97842,0.002457,1190,0.15859173781512606,0.18235313865546218,0.023761400840336122
20260514,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_calibration_bins.csv,158180,0.0032129999999999997,1657,0.2130846523838262,0.13337367471333736,0.07971097767048885
20260514,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_calibration_bins.csv,153571,0.0024980000000000002,955,0.20813346701570684,0.1287957497382199,0.07933771727748695
20260514,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_ordinary_calibration_bins.csv,122284,0.004615,2731,0.186091955693885,0.18674506188209447,0.0006531061882094624
20260514,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_lodo_all_calibration_bins.csv,112661,0.0033079999999999997,1705,0.169468011143695,0.16774223929618767,0.0017257718475073291
