model_label,setting,n_seed_runs,n_detector_runs_total,precision_B_mean,precision_B_std,precision_B_min,precision_B_max,recall_B_mean,recall_B_std,recall_B_min,recall_B_max,mAP50_B_mean,mAP50_B_std,mAP50_B_min,mAP50_B_max,mAP50_95_B_mean,mAP50_95_B_std,mAP50_95_B_min,mAP50_95_B_max
YOLOv8n 320px 4ep,LODO mean,3,21,0.18588523809523813,0.03693030972237406,0.1577,0.22769142857142857,0.10555428571428571,0.009154682976933887,0.0949857142857143,0.11103142857142857,0.06403190476190478,0.0048756023873420765,0.05851142857142858,0.06774857142857144,0.021044761904761903,0.0015723791497206368,0.019738571428571428,0.02279
YOLOv8n 320px 4ep,ordinary,3,3,0.1823866666666667,0.029588528745669886,0.16424,0.21653,0.16866,0.03008628757424218,0.14427,0.20228,0.08314,0.007792554138406742,0.07447,0.08956,0.02741333333333333,0.002732440911224491,0.0244,0.02973
YOLOv8s 640px 8ep,LODO mean,3,21,0.25860333333333335,0.05889191109581185,0.19507142857142856,0.31137,0.19133714285714287,0.024819889489796566,0.17017142857142858,0.21865428571428572,0.1293838095238095,0.015398004796098767,0.11464142857142856,0.14536285714285715,0.05130809523809524,0.00988396375224952,0.04363,0.06246000000000001
YOLOv8s 640px 8ep,ordinary,3,3,0.2926166666666667,0.03641715300971965,0.26344,0.33343,0.2683166666666667,0.017019942224735476,0.25675,0.28786,0.18636,0.008668915733815842,0.18135,0.19637,0.07138,0.0028534365246137864,0.06958,0.07467
