threshold,total_images,gt_positive_images,pred_positive_images_full,selected_images,accepted_predictions,image_review_coverage,selected_image_tp_rate,selected_image_fp_flag_rate,gt_image_recall_proxy,gt_image_miss_proxy,seed,split,kind,source_csv
0.05,560.0,560.0,560.0,478.0,2766.0,0.853571,0.562762,0.974895,0.480357,0.519643,20260512,ordinary,image,data_processed\calibration\g3_frozen_subset_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,349.0,1080.0,0.623214,0.52149,0.922636,0.325,0.675,20260512,ordinary,image,data_processed\calibration\g3_frozen_subset_ordinary_image_level_coverage.csv
0.2,560.0,560.0,560.0,195.0,400.0,0.348214,0.569231,0.758974,0.198214,0.801786,20260512,ordinary,image,data_processed\calibration\g3_frozen_subset_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,34.0,60.0,0.060714,0.676471,0.676471,0.041071,0.958929,20260512,ordinary,image,data_processed\calibration\g3_frozen_subset_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,457.0,2956.0,0.816071,0.365427,0.969365,0.298214,0.701786,20260512,lodo_all,image,data_processed\calibration\g3_frozen_subset_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,315.0,1344.0,0.5625,0.314286,0.939683,0.176786,0.823214,20260512,lodo_all,image,data_processed\calibration\g3_frozen_subset_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,172.0,602.0,0.307143,0.27907,0.877907,0.085714,0.914286,20260512,lodo_all,image,data_processed\calibration\g3_frozen_subset_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,82.0,254.0,0.146429,0.109756,0.963415,0.016071,0.983929,20260512,lodo_all,image,data_processed\calibration\g3_frozen_subset_lodo_all_image_level_coverage.csv
0.05,560.0,560.0,560.0,458.0,2847.0,0.817857,0.545852,0.9869,0.446429,0.553571,20260513,ordinary,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,334.0,1128.0,0.596429,0.535928,0.904192,0.319643,0.680357,20260513,ordinary,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_image_level_coverage.csv
0.2,560.0,560.0,560.0,174.0,428.0,0.310714,0.591954,0.741379,0.183929,0.816071,20260513,ordinary,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,37.0,61.0,0.066071,0.648649,0.675676,0.042857,0.957143,20260513,ordinary,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,419.0,2172.0,0.748214,0.372315,0.988067,0.278571,0.721429,20260513,lodo_all,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,273.0,728.0,0.4875,0.315018,0.923077,0.153571,0.846429,20260513,lodo_all,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,113.0,206.0,0.201786,0.292035,0.858407,0.058929,0.941071,20260513,lodo_all,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,20.0,24.0,0.035714,0.3,0.75,0.010714,0.989286,20260513,lodo_all,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_image_level_coverage.csv
0.05,560.0,560.0,560.0,466.0,3630.0,0.832143,0.542918,0.980687,0.451786,0.548214,20260514,ordinary,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,331.0,1657.0,0.591071,0.558912,0.939577,0.330357,0.669643,20260514,ordinary,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_image_level_coverage.csv
0.2,560.0,560.0,560.0,208.0,668.0,0.371429,0.572115,0.860577,0.2125,0.7875,20260514,ordinary,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,43.0,60.0,0.076786,0.651163,0.55814,0.05,0.95,20260514,ordinary,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,455.0,2473.0,0.8125,0.413187,0.971429,0.335714,0.664286,20260514,lodo_all,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,300.0,955.0,0.535714,0.38,0.926667,0.203571,0.796429,20260514,lodo_all,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,156.0,330.0,0.278571,0.358974,0.839744,0.1,0.9,20260514,lodo_all,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,32.0,51.0,0.057143,0.4375,0.75,0.025,0.975,20260514,lodo_all,image,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_image_level_coverage.csv
