heldout_domain,status,model,epochs,imgsz,batch,workers,device,train_images,val_images,final_epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision_B,recall_B,mAP50_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv,subset_yaml
China_Drone,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.02775,2.46652,1.80696,0.13476,0.16651,0.1064,0.0414,2.06012,2.77469,2.05472,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260514_lodo_train\heldout_China_Drone_yolov8s_seed20260514_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260514_lodo\heldout_China_Drone\dataset.yaml
China_MotorBike,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.077,2.4752,1.85193,0.16177,0.15885,0.14425,0.05441,2.48974,2.51886,2.23506,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260514_lodo_train\heldout_China_MotorBike_yolov8s_seed20260514_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260514_lodo\heldout_China_MotorBike\dataset.yaml
Czech_Republic,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,1.99618,2.46128,1.80423,0.22071,0.19501,0.13954,0.05031,2.29835,2.4526,2.02235,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260514_lodo_train\heldout_Czech_Republic_yolov8s_seed20260514_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260514_lodo\heldout_Czech_Republic\dataset.yaml
India,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.00359,2.38941,1.80456,0.20256,0.09174,0.06978,0.02428,2.64481,3.92114,2.38108,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260514_lodo_train\heldout_India_yolov8s_seed20260514_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260514_lodo\heldout_India\dataset.yaml
Japan,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.04752,2.46959,1.85313,0.20901,0.19563,0.14796,0.05433,2.14699,2.7132,2.19618,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260514_lodo_train\heldout_Japan_yolov8s_seed20260514_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260514_lodo\heldout_Japan\dataset.yaml
Norway,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,1.96867,2.48976,1.85884,0.19101,0.08389,0.06256,0.02153,2.64647,2.86203,1.90904,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260514_lodo_train\heldout_Norway_yolov8s_seed20260514_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260514_lodo\heldout_Norway\dataset.yaml
United_States,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.06951,2.51266,1.84792,0.24568,0.29957,0.22654,0.08858,1.88792,2.53464,1.83888,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260514_lodo_train\heldout_United_States_yolov8s_seed20260514_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260514_lodo\heldout_United_States\dataset.yaml
