heldout_domain,status,model,epochs,imgsz,batch,workers,device,train_images,val_images,final_epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision_B,recall_B,mAP50_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv,subset_yaml
China_Drone,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.0013,2.37573,1.81196,0.98818,0.25,0.29724,0.17945,2.1932,3.04393,2.12487,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260512_lodo_train\heldout_China_Drone_yolov8s_seed20260512_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260512_lodo\heldout_China_Drone\dataset.yaml
China_MotorBike,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.02738,2.47245,1.80673,0.121,0.20148,0.11452,0.03311,2.5807,2.65988,2.3109,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260512_lodo_train\heldout_China_MotorBike_yolov8s_seed20260512_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260512_lodo\heldout_China_MotorBike\dataset.yaml
Czech_Republic,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,1.96886,2.38145,1.78331,0.25262,0.22457,0.15345,0.05016,2.28973,2.6136,2.07796,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260512_lodo_train\heldout_Czech_Republic_yolov8s_seed20260512_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260512_lodo\heldout_Czech_Republic\dataset.yaml
India,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,1.97012,2.35531,1.75931,0.29866,0.0872,0.05927,0.02276,2.54783,3.93046,2.35776,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260512_lodo_train\heldout_India_yolov8s_seed20260512_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260512_lodo\heldout_India\dataset.yaml
Japan,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.02541,2.39872,1.79044,0.15712,0.26214,0.14461,0.0609,2.05682,2.79811,1.99515,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260512_lodo_train\heldout_Japan_yolov8s_seed20260512_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260512_lodo\heldout_Japan\dataset.yaml
Norway,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,1.94505,2.40073,1.86331,0.17577,0.09246,0.06014,0.02354,2.7038,2.82211,2.09776,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260512_lodo_train\heldout_Norway_yolov8s_seed20260512_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260512_lodo\heldout_Norway\dataset.yaml
United_States,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.04986,2.4698,1.82409,0.18624,0.41273,0.18831,0.0673,1.93602,2.55507,1.90286,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260512_lodo_train\heldout_United_States_yolov8s_seed20260512_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260512_lodo\heldout_United_States\dataset.yaml
