heldout_domain,n_seed_pairs,mAP50_B_yolov8n_mean,mAP50_B_yolov8n_std,mAP50_B_yolov8s_mean,mAP50_B_yolov8s_std,mAP50_B_delta_yolov8s_minus_yolov8n_mean,mAP50_B_delta_yolov8s_minus_yolov8n_std,recall_B_yolov8n_mean,recall_B_yolov8n_std,recall_B_yolov8s_mean,recall_B_yolov8s_std
Norway,3,0.010346666666666665,0.0016906310458918387,0.051103333333333334,0.01778894694278819,0.04075666666666667,0.01638543967470307,0.017686666666666667,0.004709239145905986,0.08198333333333334,0.01154865504434752
India,3,0.05417666666666667,0.011819578390675926,0.060163333333333326,0.009202577537480099,0.005986666666666665,0.006056189671182146,0.07682333333333334,0.020894387603692367,0.08413999999999999,0.009506818605611447
China_MotorBike,3,0.07063666666666667,0.007442354018274958,0.11473666666666667,0.029405598673268547,0.04409999999999999,0.023646439478280858,0.12471,0.015787149837763623,0.19700666666666666,0.03612830515445381
Czech_Republic,3,0.07348333333333333,0.01729613926092564,0.1474,0.00712945299444495,0.07391666666666667,0.02189670827620749,0.10560333333333334,0.0022892866428940967,0.22002,0.023073948513420935
Japan,3,0.06744,0.013672508913875316,0.15420999999999999,0.013828322385596883,0.08677,0.019077408104876303,0.13824666666666666,0.02667720062775204,0.23083333333333333,0.033425783959891396
China_Drone,3,0.07603666666666667,0.006413862590774249,0.17540666666666663,0.10582045611947312,0.09937,0.11093491650512927,0.12994999999999998,0.03807795556486719,0.17451333333333333,0.07182022858034728
United_States,3,0.09610333333333333,0.025502165267548033,0.20266666666666666,0.020816061907414984,0.10656333333333333,0.026985072416677594,0.14586,0.03857972394924567,0.3508633333333333,0.05731616642216516
