model,epochs,imgsz,heldout_domain,n_runs,precision_B_mean,precision_B_std,precision_B_min,precision_B_max,recall_B_mean,recall_B_std,recall_B_min,recall_B_max,mAP50_B_mean,mAP50_B_std,mAP50_B_min,mAP50_B_max,mAP50_95_B_mean,mAP50_95_B_std,mAP50_95_B_min,mAP50_95_B_max
yolov8n.pt,4,320,China_Drone,3,0.09911333333333333,0.008078714831786883,0.09132,0.10745,0.12994999999999998,0.03807795556486719,0.08842,0.16322,0.07603666666666667,0.006413862590774249,0.06988,0.08268,0.023889999999999998,0.0024916460422780753,0.02151,0.02648
yolov8n.pt,4,320,China_MotorBike,3,0.20874,0.14342294202811487,0.09872,0.37095,0.12471,0.015787149837763623,0.1099,0.14132,0.07063666666666667,0.007442354018274958,0.06573,0.0792,0.01805,0.004450876318209706,0.01314,0.02182
yolov8n.pt,4,320,Czech_Republic,3,0.26365333333333335,0.11003425572672054,0.16663,0.38321,0.10560333333333334,0.0022892866428940967,0.10297,0.10712,0.07348333333333333,0.01729613926092564,0.05425,0.08776,0.023073333333333335,0.0032350012879956208,0.02076,0.02677
yolov8n.pt,4,320,India,3,0.32663,0.1897971264271406,0.10847,0.45381,0.07682333333333334,0.020894387603692367,0.05905,0.09984,0.05417666666666667,0.011819578390675926,0.04057,0.0619,0.01882,0.004885376137003169,0.01397,0.02374
yolov8n.pt,4,320,Japan,3,0.20471666666666666,0.21727615109195336,0.0717,0.45545,0.13824666666666666,0.02667720062775204,0.10769,0.1569,0.06744,0.013672508913875316,0.05269,0.07969,0.02342,0.0033554135363618007,0.02018,0.02688
yolov8n.pt,4,320,Norway,3,0.04272,0.007508481870524824,0.03581,0.05071,0.017686666666666667,0.004709239145905986,0.01478,0.02312,0.010346666666666665,0.0016906310458918387,0.00863,0.01201,0.0033866666666666667,0.0006788470618138767,0.00297,0.00417
yolov8n.pt,4,320,United_States,3,0.15562333333333334,0.023313878556201956,0.12909,0.17283,0.14586,0.03857972394924567,0.1016,0.17237,0.09610333333333333,0.025502165267548033,0.06796,0.11768,0.03667333333333333,0.0064120615509626324,0.02988,0.04262
