split,threshold,image_review_coverage_mean,image_review_coverage_std,gt_image_miss_proxy_mean,gt_image_miss_proxy_std,selected_image_tp_rate_mean
lodo_all,0.05,0.7922616666666666,0.038188161965893704,0.6958336666666667,0.029032797252991856,0.383643
lodo_all,0.1,0.5285713333333334,0.03800675289120783,0.822024,0.02502123248363273,0.33643466666666666
lodo_all,0.2,0.2625,0.05448607292694161,0.9184523333333333,0.020850072190122828,0.31002633333333335
lodo_all,0.5,0.079762,0.05872109652416242,0.9827383333333334,0.007217043323504013,0.28241866666666665
ordinary,0.05,0.8345236666666667,0.017975625978900813,0.540476,0.0182396485437631,0.5505106666666667
ordinary,0.1,0.6035713333333333,0.017220708647826724,0.6749999999999999,0.0053570000000000145,0.5387766666666667
ordinary,0.2,0.3434523333333333,0.030636300500114805,0.8017856666666666,0.014285500002916703,0.5777666666666667
ordinary,0.5,0.067857,0.008183498212867155,0.9553573333333333,0.004724744896111691,0.658761
