heldout_domain,status,model,epochs,imgsz,batch,workers,device,train_images,val_images,final_epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision_B,recall_B,mAP50_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv,subset_yaml
China_Drone,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.50947,3.01525,1.83426,0.09857,0.13821,0.07555,0.02648,2.29905,2.81758,2.05524,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_China_Drone_yolov8n_seed20260514_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_China_Drone\dataset.yaml
China_MotorBike,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.59459,3.07701,1.78633,0.09872,0.14132,0.0792,0.02182,2.764,2.87787,2.31895,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_China_MotorBike_yolov8n_seed20260514_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_China_MotorBike\dataset.yaml
Czech_Republic,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.47051,2.92549,1.79681,0.16663,0.10297,0.07844,0.02677,2.61819,2.65647,1.86655,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_Czech_Republic_yolov8n_seed20260514_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_Czech_Republic\dataset.yaml
India,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.48285,2.86736,1.803,0.45381,0.05905,0.0619,0.02374,2.60752,3.37179,1.99857,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_India_yolov8n_seed20260514_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_India\dataset.yaml
Japan,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.5083,2.93927,1.84242,0.0717,0.1569,0.05269,0.02018,2.38636,2.93479,1.93599,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_Japan_yolov8n_seed20260514_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_Japan\dataset.yaml
Norway,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.40364,2.9441,1.83692,0.04164,0.01516,0.0104,0.00302,3.30913,3.27266,2.04202,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_Norway_yolov8n_seed20260514_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_Norway\dataset.yaml
United_States,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.47785,2.97226,1.80415,0.17283,0.16361,0.10267,0.03752,2.39057,2.77979,1.91552,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo_train\heldout_United_States_yolov8n_seed20260514_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260514_lodo\heldout_United_States\dataset.yaml
