heldout_domain,status,model,epochs,imgsz,batch,workers,device,train_images,val_images,final_epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision_B,recall_B,mAP50_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv,subset_yaml
China_Drone,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.48595,3.02131,1.84224,0.10745,0.16322,0.08268,0.02151,2.61098,2.92181,2.18004,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_China_Drone_yolov8n_seed20260513_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_China_Drone\dataset.yaml
China_MotorBike,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.5445,3.08308,1.78794,0.15655,0.1099,0.06698,0.01314,2.93565,3.11022,2.63136,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_China_MotorBike_yolov8n_seed20260513_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_China_MotorBike\dataset.yaml
Czech_Republic,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.42131,2.93492,1.80272,0.24112,0.10672,0.08776,0.02076,2.8257,2.91455,1.89162,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_Czech_Republic_yolov8n_seed20260513_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_Czech_Republic\dataset.yaml
India,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.44074,2.89501,1.74935,0.41761,0.09984,0.04057,0.01397,2.62084,3.30706,1.91574,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_India_yolov8n_seed20260513_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_India\dataset.yaml
Japan,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.48588,2.98553,1.80902,0.45545,0.10769,0.06994,0.0232,2.46719,2.97547,1.92905,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_Japan_yolov8n_seed20260513_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_Japan\dataset.yaml
Norway,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.39165,2.94347,1.81509,0.05071,0.01478,0.00863,0.00297,3.32869,3.4255,1.96234,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_Norway_yolov8n_seed20260513_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_Norway\dataset.yaml
United_States,ran,yolov8n.pt,4,320,8,0,cuda,960,80,4,2.42086,3.00093,1.82136,0.16495,0.17237,0.11768,0.04262,2.45795,2.72801,2.00081,runs\detect\outputs\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo_train\heldout_United_States_yolov8n_seed20260513_4ep_320px\results.csv,data_processed\g4\g4a_r08_repeat_yolov8n_seed20260513_lodo\heldout_United_States\dataset.yaml
