heldout_domain,status,model,epochs,imgsz,batch,workers,device,train_images,val_images,final_epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision_B,recall_B,mAP50_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv,subset_yaml
China_Drone,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.02664,2.42295,1.8097,0.54611,0.10703,0.12258,0.05088,2.27482,3.07755,2.16407,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260513_lodo_train\heldout_China_Drone_yolov8s_seed20260513_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260513_lodo\heldout_China_Drone\dataset.yaml
China_MotorBike,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.061,2.4603,1.83326,0.11521,0.23069,0.08544,0.02353,2.67603,2.73269,2.43746,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260513_lodo_train\heldout_China_MotorBike_yolov8s_seed20260513_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260513_lodo\heldout_China_MotorBike\dataset.yaml
Czech_Republic,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,1.9819,2.41324,1.79277,0.24876,0.24048,0.14921,0.04476,2.31067,2.88671,2.09194,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260513_lodo_train\heldout_Czech_Republic_yolov8s_seed20260513_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260513_lodo\heldout_Czech_Republic\dataset.yaml
India,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,1.98869,2.3837,1.76667,0.39965,0.07348,0.05144,0.02723,2.43862,4.08056,2.25556,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260513_lodo_train\heldout_India_yolov8s_seed20260513_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260513_lodo\heldout_India\dataset.yaml
Japan,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.04907,2.45894,1.81832,0.25598,0.23473,0.17006,0.06141,2.07943,2.77386,2.09452,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260513_lodo_train\heldout_Japan_yolov8s_seed20260513_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260513_lodo\heldout_Japan\dataset.yaml
Norway,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,1.96675,2.46943,1.84729,0.09362,0.0696,0.03061,0.01069,2.85869,2.83688,2.05739,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260513_lodo_train\heldout_Norway_yolov8s_seed20260513_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260513_lodo\heldout_Norway\dataset.yaml
United_States,ran,yolov8s.pt,8,640,8,0,cuda,960,80,8,2.05761,2.54384,1.83074,0.22625,0.34029,0.19315,0.08691,1.9099,2.44869,1.85814,runs\detect\outputs\g4\g4b_bridge_yolov8s_seed20260513_lodo_train\heldout_United_States_yolov8s_seed20260513_8ep_640px\results.csv,data_processed\g4\g4b_bridge_yolov8s_seed20260513_lodo\heldout_United_States\dataset.yaml
